zoned_school_name,current_placement,share_diverted
LENNARD HIGH SCHOOL,Magnet,0.031
LENNARD HIGH SCHOOL,Neighborhood,0.0093
LENNARD HIGH SCHOOL,Stay,0.8806
LETO HIGH SCHOOL,Charter,0.0201
LETO HIGH SCHOOL,Choice,0.0716
LETO HIGH SCHOOL,Hope Sch,0.0022
LETO HIGH SCHOOL,Magnet,0.0926
LETO HIGH SCHOOL,Neighborhood,0.0116
LETO HIGH SCHOOL,Stay,0.8018
LEWIS ELEMENTARY,Charter,0.1549
LEWIS ELEMENTARY,Choice,0.0428
LEWIS ELEMENTARY,Magnet,0.145
LEWIS ELEMENTARY,Neighborhood,0.0461
LEWIS ELEMENTARY,Stay,0.6112
LIBERTY MIDDLE SCHOOL,Charter,0.204
LIBERTY MIDDLE SCHOOL,Choice,0.1492
LIBERTY MIDDLE SCHOOL,Magnet,0.0673
LIBERTY MIDDLE SCHOOL,Neighborhood,0.0211
LIBERTY MIDDLE SCHOOL,Stay,0.5584
LIMONA ELEMENTARY,Charter,0.0941
LIMONA ELEMENTARY,Choice,0.0645
LIMONA ELEMENTARY,ESE Placed,0.0017
LIMONA ELEMENTARY,Magnet,0.0296
LIMONA ELEMENTARY,Neighborhood,0.0505
LIMONA ELEMENTARY,Stay,0.7596
LITHIA SPRINGS ELEMENTARY,Charter,0.0412
LITHIA SPRINGS ELEMENTARY,Choice,0.0549
LITHIA SPRINGS ELEMENTARY,Magnet,0.0039
LITHIA SPRINGS ELEMENTARY,Neighborhood,0.0275
LITHIA SPRINGS ELEMENTARY,Stay,0.8725
LOPEZ ELEMENTARY,Charter,0.1321
LOPEZ ELEMENTARY,Choice,0.0734
LOPEZ ELEMENTARY,ESE Placed,0.0018
LOPEZ ELEMENTARY,Magnet,0.0202
LOPEZ ELEMENTARY,Neighborhood,0.0275
LOPEZ ELEMENTARY,Stay,0.745
LOWRY ELEMENTARY,Charter,0.131
LOWRY ELEMENTARY,Choice,0.0939
LOWRY ELEMENTARY,Magnet,0.0164
LOWRY ELEMENTARY,Neighborhood,0.0164
LOWRY ELEMENTARY,Stay,0.7424
LUTZ K-8 SCHOOL,Charter,0.3018
LUTZ K-8 SCHOOL,Choice,0.0658
LUTZ K-8 SCHOOL,ESE Center,0.0014
LUTZ K-8 SCHOOL,Neighborhood,0.0219
LUTZ K-8 SCHOOL,Stay,0.6091
MABRY ELEMENTARY,Charter,0.0036
MABRY ELEMENTARY,Choice,0.0108
MABRY ELEMENTARY,Magnet,0.0371
MABRY ELEMENTARY,Neighborhood,0.012
MABRY ELEMENTARY,Stay,0.9365
MADISON MIDDLE SCHOOL,Charter,0.0982
MADISON MIDDLE SCHOOL,Choice,0.0146
MADISON MIDDLE SCHOOL,Hope Sch,0.0019
MADISON MIDDLE SCHOOL,Magnet,0.3226
MADISON MIDDLE SCHOOL,Neighborhood,0.0428
MADISON MIDDLE SCHOOL,Stay,0.5199
MANGO ELEMENTARY,Charter,0.0981
MANGO ELEMENTARY,Choice,0.1236
MANGO ELEMENTARY,ESE Placed,9e-4
MANGO ELEMENTARY,Magnet,0.0717
MANGO ELEMENTARY,Neighborhood,0.0811
MANGO ELEMENTARY,Stay,0.6245
MANISCALCO K-8 SCHOOL,Charter,0.2954
MANISCALCO K-8 SCHOOL,Choice,0.1137
MANISCALCO K-8 SCHOOL,Magnet,0.0177
MANISCALCO K-8 SCHOOL,Neighborhood,0.0177
MANISCALCO K-8 SCHOOL,Stay,0.5554
MANN MIDDLE SCHOOL,Charter,0.1117
MANN MIDDLE SCHOOL,Choice,0.1248
MANN MIDDLE SCHOOL,Hope Sch,0.0037
MANN MIDDLE SCHOOL,Magnet,0.1611
MANN MIDDLE SCHOOL,Neighborhood,0.0168
MANN MIDDLE SCHOOL,Stay,0.5819
MARSHALL MIDDLE MAGNET SCHOOL,Charter,0.0999
MARSHALL MIDDLE MAGNET SCHOOL,Choice,0.0584
MARSHALL MIDDLE MAGNET SCHOOL,Hope Sch,0.0025
MARSHALL MIDDLE MAGNET SCHOOL,Magnet,0.0152
MARSHALL MIDDLE MAGNET SCHOOL,Neighborhood,0.022
MARSHALL MIDDLE MAGNET SCHOOL,Stay,0.8019
MARTINEZ MIDDLE SCHOOL,Charter,0.0705
MARTINEZ MIDDLE SCHOOL,Choice,0.0133
MARTINEZ MIDDLE SCHOOL,Magnet,0.0744
MARTINEZ MIDDLE SCHOOL,Neighborhood,0.0055
MARTINEZ MIDDLE SCHOOL,Stay,0.8363
MCDONALD ELEMENTARY,Charter,0.1037
MCDONALD ELEMENTARY,Choice,0.1013
MCDONALD ELEMENTARY,ESE Placed,0.0013
MCDONALD ELEMENTARY,Magnet,0.035
MCDONALD ELEMENTARY,Neighborhood,0.0762
MCDONALD ELEMENTARY,Stay,0.6825
MCKITRICK ELEMENTARY,Charter,0.0713
MCKITRICK ELEMENTARY,Choice,0.0178
MCKITRICK ELEMENTARY,ESE Placed,0.0021
MCKITRICK ELEMENTARY,Magnet,0.0031
MCKITRICK ELEMENTARY,Neighborhood,0.0231
MCKITRICK ELEMENTARY,Stay,0.8826
MCLANE MIDDLE SCHOOL,Charter,0.1808
MCLANE MIDDLE SCHOOL,Choice,0.0935
MCLANE MIDDLE SCHOOL,Hope Sch,0.0063
MCLANE MIDDLE SCHOOL,Magnet,0.3265
MCLANE MIDDLE SCHOOL,Neighborhood,0.0475
MCLANE MIDDLE SCHOOL,Stay,0.3454
MEMORIAL MIDDLE SCHOOL,Charter,0.1576
MEMORIAL MIDDLE SCHOOL,Choice,0.0486
MEMORIAL MIDDLE SCHOOL,Hope Sch,0.003
MEMORIAL MIDDLE SCHOOL,Magnet,0.2002
MEMORIAL MIDDLE SCHOOL,Neighborhood,0.0258
MEMORIAL MIDDLE SCHOOL,Stay,0.5649
MENDENHALL ELEMENTARY,Charter,0.1455
MENDENHALL ELEMENTARY,Choice,0.0636
MENDENHALL ELEMENTARY,Magnet,0.0545
MENDENHALL ELEMENTARY,Neighborhood,0.0576
MENDENHALL ELEMENTARY,Stay,0.6788
MIDDLETON HIGH SCHOOL,Charter,0.0691
MIDDLETON HIGH SCHOOL,Choice,0.0978
MIDDLETON HIGH SCHOOL,Hope Sch,0.0079
MIDDLETON HIGH SCHOOL,Magnet,0.1978
MIDDLETON HIGH SCHOOL,Neighborhood,0.0273
MIDDLETON HIGH SCHOOL,Stay,0.6
MILES ELEMENTARY,Charter,0.1155
MILES ELEMENTARY,Choice,0.1269
MILES ELEMENTARY,Magnet,0.0458
MILES ELEMENTARY,Neighborhood,0.0897
MILES ELEMENTARY,Stay,0.6221
MINTZ ELEMENTARY,Charter,0.1642
MINTZ ELEMENTARY,Choice,0.0551
MINTZ ELEMENTARY,Magnet,0.0086
MINTZ ELEMENTARY,Neighborhood,0.0319
MINTZ ELEMENTARY,Stay,0.7402
MITCHELL ELEMENTARY,Charter,0.015
MITCHELL ELEMENTARY,Choice,0.0095
MITCHELL ELEMENTARY,"DistrictAssigned",0.0014
MITCHELL ELEMENTARY,Magnet,0.0218
MITCHELL ELEMENTARY,Neighborhood,0.034
MITCHELL ELEMENTARY,Stay,0.9184
MONROE MIDDLE MAGNET SCHOOL,Charter,0.0675
MONROE MIDDLE MAGNET SCHOOL,Choice,0.0675
MONROE MIDDLE MAGNET SCHOOL,Hope Sch,0.0071
MONROE MIDDLE MAGNET SCHOOL,Magnet,0.2362
MONROE MIDDLE MAGNET SCHOOL,Neighborhood,0.0586
MONROE MIDDLE MAGNET SCHOOL,Stay,0.5631
MORGAN WOODS ELEMENTARY,Charter,0.193
MORGAN WOODS ELEMENTARY,Choice,0.0943
MORGAN WOODS ELEMENTARY,ESE Placed,0.0029
MORGAN WOODS ELEMENTARY,Magnet,0.0145
MORGAN WOODS ELEMENTARY,Neighborhood,0.0639
MORGAN WOODS ELEMENTARY,Stay,0.6313
MORT ELEMENTARY,Charter,0.0717
MORT ELEMENTARY,Choice,0.0737
MORT ELEMENTARY,Magnet,0.0737
MORT ELEMENTARY,Neighborhood,0.0467
MORT ELEMENTARY,Stay,0.7342
MULRENNAN MIDDLE SCHOOL,Charter,0.0649
MULRENNAN MIDDLE SCHOOL,Choice,0.0172
MULRENNAN MIDDLE SCHOOL,Magnet,0.0325
MULRENNAN MIDDLE SCHOOL,Neighborhood,0.0181
MULRENNAN MIDDLE SCHOOL,Stay,0.8672
NELSON ELEMENTARY,Charter,0.1074
NELSON ELEMENTARY,Choice,0.1968
NELSON ELEMENTARY,ESE Placed,0.0011
NELSON ELEMENTARY,Magnet,0.0137
NELSON ELEMENTARY,Neighborhood,0.0242
NELSON ELEMENTARY,Stay,0.6568
NEWSOME HIGH SCHOOL,Charter,0.0034
NEWSOME HIGH SCHOOL,Choice,0.0194
NEWSOME HIGH SCHOOL,Hope Sch,3e-4
NEWSOME HIGH SCHOOL,Magnet,0.0271
NEWSOME HIGH SCHOOL,Neighborhood,0.004
NEWSOME HIGH SCHOOL,Stay,0.9457
NORTHWEST ELEMENTARY,Charter,0.0909
NORTHWEST ELEMENTARY,Choice,0.0664
NORTHWEST ELEMENTARY,ESE Placed,0.0029
NORTHWEST ELEMENTARY,Magnet,0.0101
NORTHWEST ELEMENTARY,Neighborhood,0.0274
NORTHWEST ELEMENTARY,Stay,0.8023
OAK GROVE ELEMENTARY,Charter,0.1121
OAK GROVE ELEMENTARY,Choice,0.0603
OAK GROVE ELEMENTARY,"DistrictAssigned",0.0011
OAK GROVE ELEMENTARY,ESE Placed,0.0011
OAK GROVE ELEMENTARY,Magnet,0.0423
OAK GROVE ELEMENTARY,Neighborhood,0.0465
OAK GROVE ELEMENTARY,Stay,0.7368
OAK PARK ELEMENTARY,Charter,0.0987
OAK PARK ELEMENTARY,Choice,0.079
OAK PARK ELEMENTARY,Magnet,0.1472
OAK PARK ELEMENTARY,Neighborhood,0.1293
OAK PARK ELEMENTARY,Stay,0.5458
PALM RIVER ELEMENTARY,Charter,0.125
PALM RIVER ELEMENTARY,Choice,0.0699
PALM RIVER ELEMENTARY,ESE Placed,0.0021
PALM RIVER ELEMENTARY,Magnet,0.0487
PALM RIVER ELEMENTARY,Neighborhood,0.072
PALM RIVER ELEMENTARY,Stay,0.6822
PIERCE MIDDLE SCHOOL,Charter,0.1786
PIERCE MIDDLE SCHOOL,Choice,0.0651
PIERCE MIDDLE SCHOOL,Hope Sch,0.0036
PIERCE MIDDLE SCHOOL,Magnet,0.141
PIERCE MIDDLE SCHOOL,Neighborhood,0.0195
PIERCE MIDDLE SCHOOL,Stay,0.5922
PINECREST ELEMENTARY,Charter,0.068
PINECREST ELEMENTARY,Choice,0.1902
PINECREST ELEMENTARY,Magnet,0.0088
PINECREST ELEMENTARY,Neighborhood,0.034
PINECREST ELEMENTARY,Stay,0.699
PIZZO K-8 SCHOOL,Charter,0.0736
PIZZO K-8 SCHOOL,Choice,0.079
PIZZO K-8 SCHOOL,ESE Placed,0.0011
PIZZO K-8 SCHOOL,Magnet,0.0651
PIZZO K-8 SCHOOL,Neighborhood,0.0502
PIZZO K-8 SCHOOL,Stay,0.7311
PLANT CITY HIGH SCHOOL,Charter,0.0023
PLANT CITY HIGH SCHOOL,Choice,0.0188
PLANT CITY HIGH SCHOOL,Hope Sch,4e-4
PLANT CITY HIGH SCHOOL,Magnet,0.0293
PLANT CITY HIGH SCHOOL,Neighborhood,0.0064
PLANT CITY HIGH SCHOOL,Stay,0.9429
PLANT HIGH SCHOOL,Charter,0.0053
PLANT HIGH SCHOOL,Choice,0.006
PLANT HIGH SCHOOL,Hope Sch,8e-4
PLANT HIGH SCHOOL,Magnet,0.0711
PLANT HIGH SCHOOL,Neighborhood,0.0045
PLANT HIGH SCHOOL,Stay,0.9123
POTTER ELEMENTARY,Charter,0.0737
POTTER ELEMENTARY,Choice,0.0838
POTTER ELEMENTARY,ESE Placed,0.0025
POTTER ELEMENTARY,Magnet,0.235
POTTER ELEMENTARY,Neighborhood,0.1187
POTTER ELEMENTARY,Stay,0.4862
PRIDE ELEMENTARY,Charter,0.0276
PRIDE ELEMENTARY,Choice,0.0472
PRIDE ELEMENTARY,Magnet,0.0069
PRIDE ELEMENTARY,Neighborhood,0.0256
PRIDE ELEMENTARY,Stay,0.8927
RANDALL MIDDLE SCHOOL,Charter,0.0057
RANDALL MIDDLE SCHOOL,Choice,0.0032
RANDALL MIDDLE SCHOOL,Magnet,0.0105
RANDALL MIDDLE SCHOOL,Neighborhood,0.0089
RANDALL MIDDLE SCHOOL,Stay,0.9717
REDDICK ELEMENTARY,Charter,0.26
REDDICK ELEMENTARY,Choice,0.0459
REDDICK ELEMENTARY,ESE Placed,8e-4
REDDICK ELEMENTARY,Magnet,0.0312
REDDICK ELEMENTARY,Neighborhood,0.0377
REDDICK ELEMENTARY,Stay,0.6243
RIVERVIEW ELEMENTARY,Charter,0.2921
RIVERVIEW ELEMENTARY,Choice,0.088
RIVERVIEW ELEMENTARY,Magnet,0.0169
RIVERVIEW ELEMENTARY,Neighborhood,0.0243
RIVERVIEW ELEMENTARY,Stay,0.5787
RIVERVIEW HIGH SCHOOL,Charter,0.0464
RIVERVIEW HIGH SCHOOL,Choice,0.0326
RIVERVIEW HIGH SCHOOL,Hope Sch,4e-4
RIVERVIEW HIGH SCHOOL,Magnet,0.0598
RIVERVIEW HIGH SCHOOL,Neighborhood,0.0112
RIVERVIEW HIGH SCHOOL,Stay,0.8497
ROBINSON ELEMENTARY,Charter,0.0618
ROBINSON ELEMENTARY,Choice,0.106
ROBINSON ELEMENTARY,Magnet,0.0141
ROBINSON ELEMENTARY,Neighborhood,0.0265
ROBINSON ELEMENTARY,Stay,0.7915
ROBINSON HIGH SCHOOL,Charter,0.0094
ROBINSON HIGH SCHOOL,Choice,0.0272
ROBINSON HIGH SCHOOL,Magnet,0.0422
ROBINSON HIGH SCHOOL,Neighborhood,0.0056
ROBINSON HIGH SCHOOL,Stay,0.9156
ROBLES ELEMENTARY,Charter,0.1651
ROBLES ELEMENTARY,Choice,0.1299
ROBLES ELEMENTARY,ESE Placed,9e-4
ROBLES ELEMENTARY,Magnet,0.1273
ROBLES ELEMENTARY,Neighborhood,0.0948
ROBLES ELEMENTARY,Stay,0.482
RODGERS MIDDLE MAGNET SCHOOL,Charter,0.2622
RODGERS MIDDLE MAGNET SCHOOL,Choice,0.0568
RODGERS MIDDLE MAGNET SCHOOL,Hope Sch,0.0018
RODGERS MIDDLE MAGNET SCHOOL,Magnet,0.0956
RODGERS MIDDLE MAGNET SCHOOL,Neighborhood,0.0096
RODGERS MIDDLE MAGNET SCHOOL,Stay,0.5741
ROOSEVELT ELEMENTARY,Charter,0.0042
ROOSEVELT ELEMENTARY,Choice,0.0127
ROOSEVELT ELEMENTARY,Magnet,0.0226
ROOSEVELT ELEMENTARY,Neighborhood,0.0056
ROOSEVELT ELEMENTARY,Stay,0.9548
RUSKIN ELEMENTARY,Charter,0.3019
RUSKIN ELEMENTARY,Choice,0.0511
RUSKIN ELEMENTARY,ESE Placed,0.0016
RUSKIN ELEMENTARY,Magnet,0.0341
RUSKIN ELEMENTARY,Neighborhood,0.013
RUSKIN ELEMENTARY,Stay,0.5982
SCHMIDT ELEMENTARY,Charter,0.1103
SCHMIDT ELEMENTARY,Choice,0.0849
SCHMIDT ELEMENTARY,Magnet,0.0402
SCHMIDT ELEMENTARY,Neighborhood,0.0492
SCHMIDT ELEMENTARY,Stay,0.7154
SCHWARZKOPF ELEMENTARY,Charter,0.099
SCHWARZKOPF ELEMENTARY,Choice,0.0743
SCHWARZKOPF ELEMENTARY,Magnet,0.0017
SCHWARZKOPF ELEMENTARY,Neighborhood,0.0248
SCHWARZKOPF ELEMENTARY,Stay,0.8003
SEFFNER ELEMENTARY,Charter,0.1855
SEFFNER ELEMENTARY,Choice,0.2375
SEFFNER ELEMENTARY,Magnet,0.0297
SEFFNER ELEMENTARY,Neighborhood,0.039
SEFFNER ELEMENTARY,Stay,0.5083
SEMINOLE HEIGHTS ELEMENTARY,Charter,0.2196
SEMINOLE HEIGHTS ELEMENTARY,Choice,0.0314
SEMINOLE HEIGHTS ELEMENTARY,Magnet,0.1922
SEMINOLE HEIGHTS ELEMENTARY,Neighborhood,0.0157
SEMINOLE HEIGHTS ELEMENTARY,Stay,0.5412
SESSUMS ELEMENTARY,Charter,0.2941
SESSUMS ELEMENTARY,Choice,0.073
SESSUMS ELEMENTARY,ESE Placed,6e-4
SESSUMS ELEMENTARY,Magnet,0.0278
SESSUMS ELEMENTARY,Neighborhood,0.0252
SESSUMS ELEMENTARY,Stay,0.5792
SHAW ELEMENTARY,Charter,0.0927
SHAW ELEMENTARY,Choice,0.0587
SHAW ELEMENTARY,ESE Placed,0.0013
SHAW ELEMENTARY,Magnet,0.0535
SHAW ELEMENTARY,Neighborhood,0.0496
SHAW ELEMENTARY,Stay,0.7441
SHEEHY ELEMENTARY,Charter,0.0678
SHEEHY ELEMENTARY,Choice,0.1131
SHEEHY ELEMENTARY,Magnet,0.0854
SHEEHY ELEMENTARY,Neighborhood,0.1231
SHEEHY ELEMENTARY,Stay,0.6106
SHIELDS MIDDLE SCHOOL,Charter,0.2622
SHIELDS MIDDLE SCHOOL,Choice,0.0121
SHIELDS MIDDLE SCHOOL,Hope Sch,0.001
SHIELDS MIDDLE SCHOOL,Magnet,0.12
SHIELDS MIDDLE SCHOOL,Neighborhood,0.0062
SHIELDS MIDDLE SCHOOL,Stay,0.5984
SICKLES HIGH SCHOOL,Charter,0.0061
SICKLES HIGH SCHOOL,Choice,0.0146
SICKLES HIGH SCHOOL,Hope Sch,4e-4
SICKLES HIGH SCHOOL,Magnet,0.0564
SICKLES HIGH SCHOOL,Neighborhood,0.0036
SICKLES HIGH SCHOOL,Stay,0.9189
SLIGH MIDDLE SCHOOL,Charter,0.1172
SLIGH MIDDLE SCHOOL,Choice,0.0224
SLIGH MIDDLE SCHOOL,Hope Sch,0.0017
SLIGH MIDDLE SCHOOL,Magnet,0.2793
SLIGH MIDDLE SCHOOL,Neighborhood,0.0431
SLIGH MIDDLE SCHOOL,Stay,0.5362
SMITH MIDDLE SCHOOL,Charter,0.1653
SMITH MIDDLE SCHOOL,Choice,0.0724
SMITH MIDDLE SCHOOL,District Assigned,0.001
SMITH MIDDLE SCHOOL,Hope Sch,0.002
SMITH MIDDLE SCHOOL,Magnet,0.2041
SMITH MIDDLE SCHOOL,Neighborhood,0.0245
SMITH MIDDLE SCHOOL,Stay,0.5306
SPOTO HIGH SCHOOL,Charter,0.1175
SPOTO HIGH SCHOOL,Choice,0.059
SPOTO HIGH SCHOOL,Hope Sch,0.0015
SPOTO HIGH SCHOOL,Magnet,0.1394
SPOTO HIGH SCHOOL,Neighborhood,0.0152
SPOTO HIGH SCHOOL,Stay,0.6674
SPRINGHEAD ELEMENTARY,Charter,0.0485
SPRINGHEAD ELEMENTARY,Choice,0.0421
SPRINGHEAD ELEMENTARY,Magnet,0.0395
SPRINGHEAD ELEMENTARY,Neighborhood,0.051
SPRINGHEAD ELEMENTARY,Stay,0.8189
STEINBRENNER HIGH SCHOOL,Charter,0.0087
STEINBRENNER HIGH SCHOOL,Choice,0.0162
STEINBRENNER HIGH SCHOOL,Magnet,0.0308
STEINBRENNER HIGH SCHOOL,Neighborhood,0.002
STEINBRENNER HIGH SCHOOL,Stay,0.9423
STEWART MIDDLE SCHOOL,Charter,0.0643
STEWART MIDDLE SCHOOL,Choice,0.0292
STEWART MIDDLE SCHOOL,Hope Sch,0.0117
STEWART MIDDLE SCHOOL,Magnet,0.3392
STEWART MIDDLE SCHOOL,Neighborhood,0.0643
STEWART MIDDLE SCHOOL,Stay,0.4912
STOWERS ELEMENTARY,Charter,0.0463
STOWERS ELEMENTARY,Choice,0.0628
STOWERS ELEMENTARY,Magnet,0.0022
STOWERS ELEMENTARY,Neighborhood,0.0066
STOWERS ELEMENTARY,Stay,0.8822
STRAWBERRY CREST HIGH SCHOOL,Charter,0.0075
STRAWBERRY CREST HIGH SCHOOL,Choice,0.021
STRAWBERRY CREST HIGH SCHOOL,Magnet,0.032
STRAWBERRY CREST HIGH SCHOOL,Neighborhood,0.0065
STRAWBERRY CREST HIGH SCHOOL,Stay,0.9329
SULPHUR SPRINGS K-8,Charter,0.1124
SULPHUR SPRINGS K-8,Choice,0.1029
SULPHUR SPRINGS K-8,Hope Sch,0.0011
SULPHUR SPRINGS K-8,Magnet,0.106
SULPHUR SPRINGS K-8,Neighborhood,0.0806
SULPHUR SPRINGS K-8,Stay,0.597
SUMMERFIELD CROSSINGS ELEM,Charter,0.2929
SUMMERFIELD CROSSINGS ELEM,Choice,0.0758
SUMMERFIELD CROSSINGS ELEM,Magnet,0.0366
SUMMERFIELD CROSSINGS ELEM,Neighborhood,0.0199
SUMMERFIELD CROSSINGS ELEM,Stay,0.5748
SUMMERFIELD ELEMENTARY,Charter,0.2358
SUMMERFIELD ELEMENTARY,Choice,0.065
SUMMERFIELD ELEMENTARY,ESE Placed,0.0019
SUMMERFIELD ELEMENTARY,Magnet,0.0251
SUMMERFIELD ELEMENTARY,Neighborhood,0.0232
SUMMERFIELD ELEMENTARY,Stay,0.649
SUMNER HIGH SCHOOL,Charter,0.0502
SUMNER HIGH SCHOOL,Choice,0.0199
SUMNER HIGH SCHOOL,Hope Sch,0.0012
SUMNER HIGH SCHOOL,Magnet,0.0554
SUMNER HIGH SCHOOL,Neighborhood,0.0066
SUMNER HIGH SCHOOL,Stay,0.8667
SYMMES ELEMENTARY,Charter,0.3378
SYMMES ELEMENTARY,Choice,0.1121
SYMMES ELEMENTARY,Magnet,0.0164
SYMMES ELEMENTARY,Neighborhood,0.0239
SYMMES ELEMENTARY,Stay,0.5097
TAMPA BAY BOULEVARD ELEMENTARY,Charter,0.0748
TAMPA BAY BOULEVARD ELEMENTARY,Choice,0.0852
TAMPA BAY BOULEVARD ELEMENTARY,"DistrictAssigned",0.0028
TAMPA BAY BOULEVARD ELEMENTARY,ESE Placed,9e-4
TAMPA BAY BOULEVARD ELEMENTARY,Magnet,0.1922
TAMPA BAY BOULEVARD ELEMENTARY,Neighborhood,0.1136
TAMPA BAY BOULEVARD ELEMENTARY,Stay,0.5303
TAMPA PALMS ELEMENTARY,Charter,0.035
TAMPA PALMS ELEMENTARY,Choice,0.0476
TAMPA PALMS ELEMENTARY,ESE Placed,0.0014
TAMPA PALMS ELEMENTARY,Magnet,0.0154
TAMPA PALMS ELEMENTARY,Neighborhood,0.0196
TAMPA PALMS ELEMENTARY,Stay,0.881
TERRACE COMMUNITY SCHOOL,Charter,0.1922
TERRACE COMMUNITY SCHOOL,Choice,0.0771
TERRACE COMMUNITY SCHOOL,ESE Placed,0.0025
TERRACE COMMUNITY SCHOOL,Magnet,0.158
TERRACE COMMUNITY SCHOOL,Neighborhood,0.5702
THOMPSON ELEMENTARY,Charter,0.3477
THOMPSON ELEMENTARY,Choice,0.0424
THOMPSON ELEMENTARY,ESE Placed,8e-4
THOMPSON ELEMENTARY,Magnet,0.0338
THOMPSON ELEMENTARY,Neighborhood,0.04
THOMPSON ELEMENTARY,Stay,0.5353
THONOTOSASSA ELEMENTARY,Charter,0.1545
THONOTOSASSA ELEMENTARY,Choice,0.1317
THONOTOSASSA ELEMENTARY,Magnet,0.0911
THONOTOSASSA ELEMENTARY,Neighborhood,0.0797
THONOTOSASSA ELEMENTARY,Stay,0.5431
TINKER K-8 SCHOOL,Charter,0.0035
TINKER K-8 SCHOOL,Choice,0.0069
TINKER K-8 SCHOOL,Magnet,0.0121
TINKER K-8 SCHOOL,Neighborhood,0.019
TINKER K-8 SCHOOL,Stay,0.9585
TOMLIN MIDDLE SCHOOL,Charter,0.0915
TOMLIN MIDDLE SCHOOL,Choice,0.0154
TOMLIN MIDDLE SCHOOL,Hope Sch,6e-4
TOMLIN MIDDLE SCHOOL,Magnet,0.048
TOMLIN MIDDLE SCHOOL,Neighborhood,0.0179
TOMLIN MIDDLE SCHOOL,Stay,0.8266
TOWN AND COUNTRY ELEMENTARY,Charter,0.1226
TOWN AND COUNTRY ELEMENTARY,Choice,0.0926
TOWN AND COUNTRY ELEMENTARY,ESE Placed,0.0027
TOWN AND COUNTRY ELEMENTARY,Magnet,0.0136
TOWN AND COUNTRY ELEMENTARY,Neighborhood,0.0463
TOWN AND COUNTRY ELEMENTARY,Stay,0.7221
TRAPNELL ELEMENTARY,Charter,0.0648
TRAPNELL ELEMENTARY,Choice,0.1142
TRAPNELL ELEMENTARY,Magnet,0.0741
TRAPNELL ELEMENTARY,Neighborhood,0.0633
TRAPNELL ELEMENTARY,Stay,0.6836
TURKEY CREEK MIDDLE SCHOOL,Charter,0.0572
TURKEY CREEK MIDDLE SCHOOL,Choice,0.0589
TURKEY CREEK MIDDLE SCHOOL,Hope Sch,9e-4
TURKEY CREEK MIDDLE SCHOOL,Magnet,0.0358
TURKEY CREEK MIDDLE SCHOOL,Neighborhood,0.0094
TURKEY CREEK MIDDLE SCHOOL,Stay,0.8379
TURNER BARTELS K-8,Charter,0.1144
TURNER BARTELS K-8,Choice,0.1168
TURNER BARTELS K-8,Magnet,0.0467
TURNER BARTELS K-8,Neighborhood,0.0263
TURNER BARTELS K-8,Stay,0.6959
TWIN LAKES ELEMENTARY,Charter,0.12
TWIN LAKES ELEMENTARY,Choice,0.0954
TWIN LAKES ELEMENTARY,ESE Placed,0.0015
TWIN LAKES ELEMENTARY,Magnet,0.0215
TWIN LAKES ELEMENTARY,Neighborhood,0.04
TWIN LAKES ELEMENTARY,Stay,0.7215
VALRICO ELEMENTARY,Charter,0.0922
VALRICO ELEMENTARY,Choice,0.0908
VALRICO ELEMENTARY,Magnet,0.0275
VALRICO ELEMENTARY,Neighborhood,0.011
VALRICO ELEMENTARY,Stay,0.7785
WALDEN LAKE ELEMENTARY,Charter,0.0309
WALDEN LAKE ELEMENTARY,Choice,0.0489
WALDEN LAKE ELEMENTARY,Magnet,0.0515
WALDEN LAKE ELEMENTARY,Neighborhood,0.0412
WALDEN LAKE ELEMENTARY,Stay,0.8275
WASHINGTON ELEMENTARY,Charter,0.1025
WASHINGTON ELEMENTARY,Choice,0.0531
WASHINGTON ELEMENTARY,Magnet,0.2258
WASHINGTON ELEMENTARY,Neighborhood,0.1006
WASHINGTON ELEMENTARY,Stay,0.518
WEBB MIDDLE SCHOOL,Charter,0.1917
WEBB MIDDLE SCHOOL,Choice,0.0494
WEBB MIDDLE SCHOOL,District Assigned,8e-4
WEBB MIDDLE SCHOOL,Hope Sch,8e-4
WEBB MIDDLE SCHOOL,Magnet,0.1003
WEBB MIDDLE SCHOOL,Neighborhood,0.0227
WEBB MIDDLE SCHOOL,Stay,0.6343
WEST SHORE ELEMENTARY,Charter,0.0383
WEST SHORE ELEMENTARY,Choice,0.1697
WEST SHORE ELEMENTARY,ESE Placed,0.0017
WEST SHORE ELEMENTARY,Magnet,0.1448
WEST SHORE ELEMENTARY,Neighborhood,0.0915
WEST SHORE ELEMENTARY,Stay,0.5541
WEST TAMPA ELEMENTARY,Charter,0.0561
WEST TAMPA ELEMENTARY,Choice,0.0561
WEST TAMPA ELEMENTARY,"DistrictAssigned",0.0023
WEST TAMPA ELEMENTARY,Magnet,0.1636
WEST TAMPA ELEMENTARY,Neighborhood,0.0537
WEST TAMPA ELEMENTARY,Stay,0.6682
WESTCHASE ELEMENTARY,Charter,0.0428
WESTCHASE ELEMENTARY,Choice,0.0405
WESTCHASE ELEMENTARY,ESE Placed,0.0012
WESTCHASE ELEMENTARY,Magnet,0.0069
WESTCHASE ELEMENTARY,Neighborhood,0.0277
WESTCHASE ELEMENTARY,Stay,0.8809
WHARTON HIGH SCHOOL,Charter,0.1121
WHARTON HIGH SCHOOL,Choice,0.0423
WHARTON HIGH SCHOOL,District Assigned,6e-4
