school_name,school_number,region,level3_plus_22_23,student_count_22_23,level3_plus_23_24,student_count_23_24,exam
PIZZO K-8 SCHOOL,3381,TN4,0.22,54,0.23,48,Grade 8 ELA
PROGRESS VILLAGE MIDDLE MAGNET,3561,M2,0.39,259,0.46,210,Grade 8 ELA
RAMPELLO K-8 MAGNET SCHOOL,4251,E1,0.5,86,0.51,88,Grade 8 ELA
RANDALL MIDDLE SCHOOL,3620,M2,0.55,463,0.63,474,Grade 8 ELA
RODGERS MIDDLE MAGNET SCHOOL,3771,M2,0.28,364,0.34,388,Grade 8 ELA
ROLAND PARK K-8 MAGNET SCHOOL,3802,E1,0.6,105,0.59,108,Grade 8 ELA
SERGEANT PAUL R SMITH MIDDLE SCHOOL,0074,M1,0.31,229,0.37,195,Grade 8 ELA
SHIELDS MIDDLE SCHOOL,0055,TN4,0.15000000000000002,583,0.2,616,Grade 8 ELA
SIMMONS EXCEPTIONAL CENTER,4002,CN,NA,NA,NA,NA,Grade 8 ELA
SLIGH MIDDLE SCHOOL,1482,TN4,0.17,182,0.29,181,Grade 8 ELA
STEWART MIDDLE MAGNET SCHOOL,0284,M2,0.38,237,0.3,214,Grade 8 ELA
SULPHUR SPRINGS K-8 SCHOOL,4201,TN4,0.09000000000000001,56,0.18,51,Grade 8 ELA
TINKER K-8 SCHOOL,4381,E1,0.65,42,0.64,36,Grade 8 ELA
TOMLIN MIDDLE SCHOOL,3442,M2,0.27,504,0.26,491,Grade 8 ELA
TURKEY CREEK MIDDLE SCHOOL,4522,M2,0.12,293,0.19,338,Grade 8 ELA
TURNER-BARTELS K-8 SCHOOL,0069,E3,0.24,176,0.36,171,Grade 8 ELA
WALKER MIDDLE MAGNET SCHOOL,4611,M1,0.67,315,0.73,293,Grade 8 ELA
WEBB MIDDLE SCHOOL,4442,M1,0.17,283,0.26,253,Grade 8 ELA
WILLIAMS MIDDLE MAGNET SCHOOL,4741,M1,0.6799999999999999,249,0.68,239,Grade 8 ELA
WILSON MIDDLE SCHOOL,4761,M2,0.57,193,0.69,216,Grade 8 ELA
YOUNG MIDDLE MAGNET SCHOOL,5041,M1,0.18,155,0.24,105,Grade 8 ELA
ADAMS MIDDLE SCHOOL,0041,TN4,0.23,213,0.13,160,Grade 8 Math
BARRINGTON MIDDLE SCHOOL,0086,M2,0.61,515,0.6,471,Grade 8 Math
BENITO MIDDLE SCHOOL,0201,M1,0.6,370,0.52,353,Grade 8 Math
BRANDON SUCCESS CENTER,4332,CN,0,32,0,16,Grade 8 Math
BUCHANAN MIDDLE SCHOOL,0561,M1,0.28,313,0.22,240,Grade 8 Math
BURNETT MIDDLE SCHOOL,0631,M1,0.25,231,0.15,206,Grade 8 Math
BURNS MIDDLE SCHOOL,0651,M2,0.5399999999999999,432,0.42,365,Grade 8 Math
CARROLLWOOD K-8 SCHOOL,0701,E3,NA,NA,NA,NA,Grade 8 Math
CARVER EXCEPTIONAL CENTER,0063,CN,NA,NA,NA,NA,Grade 8 Math
COLEMAN MIDDLE SCHOOL,0921,M2,0.82,318,0.79,296,Grade 8 Math
COLLINS PK-8 SCHOOL,0065,E5,NA,NA,0.47,161,Grade 8 Math
DAVIDSEN MIDDLE SCHOOL,1080,M1,0.48,333,0.37,295,Grade 8 Math
DOROTHY C YORK PK-8 MAGNET SCHOOL,0011,E5,0.72,94,0.58,234,Grade 8 Math
DOROTHY THOMAS CENTER,4321,CN,NA,NA,NA,NA,Grade 8 Math
DOWDELL MIDDLE MAGNET SCHOOL,0842,M1,0.27,194,0.21,191,Grade 8 Math
DR CARTER G WOODSON K-8 SCHOOL,0682,TN4,0.29000000000000004,126,0.19,98,Grade 8 Math
EISENHOWER MIDDLE SCHOOL,1324,M1,0.26,348,0.17,425,Grade 8 Math
FARNELL MIDDLE SCHOOL,1441,M2,0.79,405,0.62,473,Grade 8 Math
FERRELL MIDDLE MAGNET SCHOOL,3001,M2,0.53,87,0.38,144,Grade 8 Math
FRANKLIN MIDDLE MAGNET SCHOOL,1542,M2,0.24000000000000002,75,0.19,85,Grade 8 Math
GIUNTA MIDDLE SCHOOL,0052,TN4,0.2,278,0.13,288,Grade 8 Math
GRECO MIDDLE MAGNET SCHOOL,1781,M1,0.22999999999999998,225,0.16,207,Grade 8 Math
HILL MIDDLE SCHOOL,1871,M1,0.45,380,0.37,310,Grade 8 Math
HILLSBOROUGH VIRTUAL SCHOOL,7023,IN,0.51,95,0.52,61,Grade 8 Math
HOSPITAL/HOMEBOUND/HOMEBASED PROGRAMS,5371,CN,NA,NA,NA,NA,Grade 8 Math
JENNINGS MIDDLE SCHOOL,2042,TN4,0.18,266,0.08,249,Grade 8 Math
LIBERTY MIDDLE SCHOOL,2471,M1,0.58,387,0.53,333,Grade 8 Math
LUTZ K-8 SCHOOL,2561,E3,0.55,71,0.54,71,Grade 8 Math
MADISON MIDDLE SCHOOL,2651,M2,0.29,216,0.31,253,Grade 8 Math
MANISCALCO K-8 SCHOOL,2771,E3,0.84,45,0.84,63,Grade 8 Math
MANN MIDDLE SCHOOL,2801,M1,0.32,291,0.18,198,Grade 8 Math
MARSHALL MIDDLE MAGNET SCHOOL,2841,M2,0.38,397,0.27,377,Grade 8 Math
MARTINEZ MIDDLE SCHOOL,2851,M1,0.8300000000000001,395,0.75,396,Grade 8 Math
MCLANE MIDDLE SCHOOL,0322,M1,0.30000000000000004,249,0.15,229,Grade 8 Math
MEMORIAL MIDDLE SCHOOL,2882,TN4,0.34,188,0.28,178,Grade 8 Math
MONROE MIDDLE MAGNET SCHOOL,2362,M2,0.19,175,0.11,153,Grade 8 Math
MULRENNAN MIDDLE SCHOOL,3131,M2,0.5900000000000001,436,0.42,427,Grade 8 Math
NORTH TAMPA SUCCESS CENTER,4331,CN,0.07,29,0,19,Grade 8 Math
ORANGE GROVE MIDDLE MAGNET SCHOOL,3241,M2,0.39,179,0.3,157,Grade 8 Math
PACE CENTER FOR GIRLS,5054,CN,NA,NA,NA,NA,Grade 8 Math
PIERCE MIDDLE SCHOOL,0082,M1,0.32,292,0.19,321,Grade 8 Math
PIZZO K-8 SCHOOL,3381,TN4,0.46,52,0.35,57,Grade 8 Math
PROGRESS VILLAGE MIDDLE MAGNET,3561,M2,0.49,246,0.4,209,Grade 8 Math
RAMPELLO K-8 MAGNET SCHOOL,4251,E1,0.75,98,0.44,136,Grade 8 Math
RANDALL MIDDLE SCHOOL,3620,M2,0.75,499,0.7,497,Grade 8 Math
RODGERS MIDDLE MAGNET SCHOOL,3771,M2,0.49,411,0.3,340,Grade 8 Math
ROLAND PARK K-8 MAGNET SCHOOL,3802,E1,0.68,98,0.63,112,Grade 8 Math
SERGEANT PAUL R SMITH MIDDLE SCHOOL,0074,M1,0.49,229,0.36,203,Grade 8 Math
SHIELDS MIDDLE SCHOOL,0055,TN4,0.31000000000000005,647,0.17,617,Grade 8 Math
SIMMONS EXCEPTIONAL CENTER,4002,CN,NA,NA,NA,NA,Grade 8 Math
SLIGH MIDDLE SCHOOL,1482,TN4,0.33000000000000007,180,0.15,211,Grade 8 Math
STEWART MIDDLE MAGNET SCHOOL,0284,M2,0.5800000000000001,332,0.49,270,Grade 8 Math
SULPHUR SPRINGS K-8 SCHOOL,4201,TN4,0.24,57,0.1,48,Grade 8 Math
TINKER K-8 SCHOOL,4381,E1,0.68,64,0.69,55,Grade 8 Math
TOMLIN MIDDLE SCHOOL,3442,M2,0.43999999999999995,549,0.35,555,Grade 8 Math
TURKEY CREEK MIDDLE SCHOOL,4522,M2,0.26,364,0.25,376,Grade 8 Math
TURNER-BARTELS K-8 SCHOOL,0069,E3,0.43,174,0.4,204,Grade 8 Math
WALKER MIDDLE MAGNET SCHOOL,4611,M1,0.8900000000000001,279,0.79,321,Grade 8 Math
WEBB MIDDLE SCHOOL,4442,M1,0.37,273,0.27,282,Grade 8 Math
WILLIAMS MIDDLE MAGNET SCHOOL,4741,M1,0.78,234,0.58,250,Grade 8 Math
WILSON MIDDLE SCHOOL,4761,M2,0.8200000000000001,239,0.76,196,Grade 8 Math
YOUNG MIDDLE MAGNET SCHOOL,5041,M1,0.34,163,0.25,130,Grade 8 Math
ALONSO HIGH SCHOOL,0151,H1,0.39,736,0.47,774,Grade 6 ELA
ARMWOOD HIGH SCHOOL,0131,H2,0.27,715,0.3,591,Grade 6 ELA
BLAKE HIGH SCHOOL,0281,H2,0.42,433,0.32,384,Grade 6 ELA
BLOOMINGDALE HIGH SCHOOL,4141,H1,0.45999999999999996,595,0.45,545,Grade 6 ELA
BRANDON HIGH SCHOOL,0291,H1,0.23,365,0.28,381,Grade 6 ELA
BRANDON SUCCESS CENTER,4332,CN,0,15,0.06,16,Grade 6 ELA
BUILDING CONSTRUCTION ACADEMY AT BOWERS WHITL,4155,CN,NA,NA,0.19,36,Grade 6 ELA
CHAMBERLAIN HIGH SCHOOL,0761,H1,0.17,326,0.14,291,Grade 6 ELA
DURANT HIGH SCHOOL,1291,H2,0.39999999999999997,686,0.31,528,Grade 6 ELA
EAST BAY HIGH SCHOOL,1322,H1,0.31000000000000005,492,0.36,381,Grade 6 ELA
FREEDOM HIGH SCHOOL,1541,H1,0.24000000000000002,469,0.23,516,Grade 6 ELA
GAITHER HIGH SCHOOL,1551,H2,0.36000000000000004,528,0.38,435,Grade 6 ELA
HILLSBOROUGH HIGH SCHOOL,1881,H2,0.38,474,0.34,358,Grade 6 ELA
HILLSBOROUGH VIRTUAL SCHOOL,7023,IN,0.74,73,0.71,63,Grade 6 ELA
JEFFERSON HIGH SCHOOL,3784,H1,0.32999999999999996,369,0.29,343,Grade 6 ELA
JULE F SUMNER HIGH SCHOOL,0106,H2,0.31,857,0.36,1002,Grade 6 ELA
KING HIGH SCHOOL,2241,H1,0.25,327,0.23,263,Grade 6 ELA
LENNARD HIGH SCHOOL,0073,H2,0.36000000000000004,620,0.3,557,Grade 6 ELA
LETO HIGH SCHOOL,2421,H1,0.3,554,0.25,557,Grade 6 ELA
MEDICAL ACADEMY AT D.W. WATERS,0363,CN,NA,NA,0.34,47,Grade 6 ELA
MIDDLETON HIGH SCHOOL,3004,H2,0.41000000000000003,431,0.48,382,Grade 6 ELA
NEWSOME HIGH SCHOOL,3171,H2,0.63,808,0.64,794,Grade 6 ELA
NORTH TAMPA SUCCESS CENTER,4331,CN,0,29,NA,NA,Grade 6 ELA
PACE CENTER FOR GIRLS,5054,CN,NA,NA,NA,NA,Grade 6 ELA
PLANT CITY HIGH SCHOOL,3431,H1,0.31,659,0.29,659,Grade 6 ELA
PLANT HIGH SCHOOL,3411,H1,0.62,603,0.65,575,Grade 6 ELA
RIVERVIEW HIGH SCHOOL,3371,H1,0.37000000000000005,579,0.4,510,Grade 6 ELA
ROBINSON HIGH SCHOOL,3731,H2,0.62,339,0.52,365,Grade 6 ELA
SICKLES HIGH SCHOOL,4151,H1,0.51,575,0.6,576,Grade 6 ELA
SIMMONS CAREER CENTER,0371,CN,NA,NA,NA,NA,Grade 6 ELA
SOUTH COUNTY CAREER CENTER,4154,CN,NA,NA,0.09,11,Grade 6 ELA
SPOTO HIGH SCHOOL,0043,H2,0.24000000000000002,453,0.31,485,Grade 6 ELA
STEINBRENNER HIGH SCHOOL,0089,H2,0.63,566,0.62,590,Grade 6 ELA
STRAWBERRY CREST HIGH SCHOOL,0093,H1,0.45999999999999996,675,0.47,577,Grade 6 ELA
TAMPA BAY TECH HIGH SCHOOL,4221,H2,0.45,564,0.45,589,Grade 6 ELA
TAMPA RESIDENTIAL FACILITY,5056,CN,NA,NA,NA,NA,Grade 6 ELA
WHARTON HIGH SCHOOL,4731,H2,0.33,610,0.23,483,Grade 6 ELA
ALONSO HIGH SCHOOL,0151,H1,0.38000000000000006,736,0.41,718,Grade 6 Math
ARMWOOD HIGH SCHOOL,0131,H2,0.26,527,0.32,567,Grade 6 Math
BLAKE HIGH SCHOOL,0281,H2,0.37,384,0.33,406,Grade 6 Math
BLOOMINGDALE HIGH SCHOOL,4141,H1,0.46,543,0.48,595,Grade 6 Math
BRANDON HIGH SCHOOL,0291,H1,0.24,421,0.24,368,Grade 6 Math
BRANDON SUCCESS CENTER,4332,CN,0,22,0,12,Grade 6 Math
BUILDING CONSTRUCTION ACADEMY AT BOWERS WHITL,4155,CN,0,11,0.08,13,Grade 6 Math
CHAMBERLAIN HIGH SCHOOL,0761,H1,0.22,293,0.16,268,Grade 6 Math
DURANT HIGH SCHOOL,1291,H2,0.42,637,0.33,639,Grade 6 Math
EAST BAY HIGH SCHOOL,1322,H1,0.32,492,0.38,463,Grade 6 Math
FREEDOM HIGH SCHOOL,1541,H1,0.33,446,0.24,470,Grade 6 Math
GAITHER HIGH SCHOOL,1551,H2,0.43,515,0.37,513,Grade 6 Math
HILLSBOROUGH HIGH SCHOOL,1881,H2,0.38,478,0.35,396,Grade 6 Math
HILLSBOROUGH VIRTUAL SCHOOL,7023,IN,0.68,62,0.66,44,Grade 6 Math
JEFFERSON HIGH SCHOOL,3784,H1,0.28,310,0.25,346,Grade 6 Math
JULE F SUMNER HIGH SCHOOL,0106,H2,0.34,924,0.31,875,Grade 6 Math
KING HIGH SCHOOL,2241,H1,0.32999999999999996,318,0.26,282,Grade 6 Math
LENNARD HIGH SCHOOL,0073,H2,0.32,627,0.32,580,Grade 6 Math
LETO HIGH SCHOOL,2421,H1,0.27,505,0.28,534,Grade 6 Math
MEDICAL ACADEMY AT D.W. WATERS,0363,CN,NA,NA,NA,NA,Grade 6 Math
MIDDLETON HIGH SCHOOL,3004,H2,0.42000000000000004,375,0.38,376,Grade 6 Math
NEWSOME HIGH SCHOOL,3171,H2,0.66,824,0.6,815,Grade 6 Math
NORTH TAMPA SUCCESS CENTER,4331,CN,0.05,43,0,13,Grade 6 Math
PACE CENTER FOR GIRLS,5054,CN,NA,NA,0.13,16,Grade 6 Math
PLANT CITY HIGH SCHOOL,3431,H1,0.29000000000000004,627,0.26,615,Grade 6 Math
PLANT HIGH SCHOOL,3411,H1,0.5800000000000001,629,0.6,604,Grade 6 Math
RIVERVIEW HIGH SCHOOL,3371,H1,0.38999999999999996,633,0.35,594,Grade 6 Math
ROBINSON HIGH SCHOOL,3731,H2,0.56,310,0.56,322,Grade 6 Math
SICKLES HIGH SCHOOL,4151,H1,0.5900000000000001,590,0.55,566,Grade 6 Math
SIMMONS CAREER CENTER,0371,CN,0.27,11,0,11,Grade 6 Math
SOUTH COUNTY CAREER CENTER,4154,CN,0.05,21,0.16,19,Grade 6 Math
SPOTO HIGH SCHOOL,0043,H2,0.25,444,0.29,423,Grade 6 Math
STEINBRENNER HIGH SCHOOL,0089,H2,0.6,596,0.62,571,Grade 6 Math
STRAWBERRY CREST HIGH SCHOOL,0093,H1,0.39,683,0.49,604,Grade 6 Math
TAMPA BAY TECH HIGH SCHOOL,4221,H2,0.44,509,0.46,514,Grade 6 Math
WHARTON HIGH SCHOOL,4731,H2,0.34,575,0.31,569,Grade 6 Math
ALAFIA ELEMENTARY SCHOOL,0271,E4,0.37,104,0.45,91,Grade 3 ELA
ALEXANDER ELEMENTARY SCHOOL,0081,E2,0.27,69,0.43,80,Grade 3 ELA
ANDERSON ELEMENTARY SCHOOL,0121,E1,0.37,60,0.29,51,Grade 3 ELA
APOLLO BEACH ELEMENTARY SCHOOL,0141,E5,0.55,106,0.48,98,Grade 3 ELA
BAILEY ELEMENTARY SCHOOL,0092,E4,0.19,146,0.23,130,Grade 3 ELA
BALLAST POINT ELEMENTARY SCHL,0161,E1,0.5,62,0.61,76,Grade 3 ELA
BAY CREST ELEMENTARY SCHOOL,0191,E2,0.27,94,0.23,79,Grade 3 ELA
BELLAMY ELEMENTARY SCHOOL,1776,E2,0.27,104,0.25,85,Grade 3 ELA
BELMONT ELEMENTARY SCHOOL,0009,E5,0.24000000000000002,187,0.29,161,Grade 3 ELA
BEVIS ELEMENTARY SCHOOL,0361,E5,0.6699999999999999,121,0.67,157,Grade 3 ELA
BING ELEMENTARY SCHOOL,0261,E4,0.14,83,0.14,86,Grade 3 ELA
BOYETTE SPRINGS ELEM. SCHOOL,0311,E5,0.5800000000000001,129,0.48,130,Grade 3 ELA
BROOKER ELEMENTARY SCHOOL,0401,E5,0.43,136,0.48,119,Grade 3 ELA
BROWARD ELEMENTARY SCHOOL,0441,TN3,0.2,37,0.11,46,Grade 3 ELA
BRYAN ELEMENTARY SCHOOL,0521,E4,0.27,122,0.3,104,Grade 3 ELA
BRYANT ELEMENTARY SCHOOL,0527,E2,0.73,157,0.73,143,Grade 3 ELA
BUCKHORN ELEMENTARY SCHOOL,0571,E4,0.4,120,0.47,111,Grade 3 ELA
BURNEY ELEMENTARY SCHOOL,0641,TN1,0.17,55,0.07,44,Grade 3 ELA
CANNELLA ELEMENTARY SCHOOL,0691,E2,0.18,82,0.42,79,Grade 3 ELA
CARROLLWOOD K-8 SCHOOL,0701,E3,0.42000000000000004,119,0.5,111,Grade 3 ELA
CHIARAMONTE ELEMENTARY SCHOOL,0771,E1,0.36,49,0.54,35,Grade 3 ELA
CHILES ELEMENTARY SCHOOL,0772,E3,0.61,158,0.64,156,Grade 3 ELA
CIMINO ELEMENTARY SCHOOL,0802,E4,0.45,119,0.49,148,Grade 3 ELA
CITRUS PARK ELEMENTARY SCHOOL,0801,E2,0.44000000000000006,68,0.54,92,Grade 3 ELA
CLAIR-MEL ELEMENTARY SCHOOL,0841,TN1,0.15,68,0.15,68,Grade 3 ELA
CLARK ELEMENTARY SCHOOL,0851,E3,0.54,169,0.57,138,Grade 3 ELA
CLAYWELL ELEMENTARY SCHOOL,0861,E3,0.43000000000000005,103,0.57,113,Grade 3 ELA
CLEVELAND ELEMENTARY SCHOOL,0881,TN1,0.11000000000000001,27,0.35,34,Grade 3 ELA
COLLINS PK-8 SCHOOL,0065,E5,0.31,140,0.35,201,Grade 3 ELA
COLSON ELEMENTARY SCHOOL,0931,E4,0.25,110,0.27,85,Grade 3 ELA
CORK ELEMENTARY SCHOOL,1001,E4,0.25,122,0.33,122,Grade 3 ELA
CORR ELEMENTARY SCHOOL,0054,E5,0.23,104,0.3,99,Grade 3 ELA
CRESTWOOD ELEMENTARY SCHOOL,1021,E2,0.13999999999999999,139,0.22,122,Grade 3 ELA
CYPRESS CREEK ELEMENTARY SCHL,1051,E5,0.27,182,0.36,126,Grade 3 ELA
DAVIS ELEMENTARY SCHOOL,0056,E2,0.23000000000000004,105,0.24,80,Grade 3 ELA
DEER PARK ELEMENTARY SCHOOL,0100,E2,0.5,190,0.53,145,Grade 3 ELA
DESOTO ELEMENTARY SCHOOL,1081,TN2,0.08,37,0.36,25,Grade 3 ELA
DICKENSON ELEMENTARY SCHOOL,1101,E1,0.29000000000000004,93,0.24,91,Grade 3 ELA
DOBY ELEMENTARY SCHOOL,0072,E5,0.18,100,0.32,111,Grade 3 ELA
DOROTHY C YORK PK-8 MAGNET SCHOOL,0011,E5,0.6000000000000001,131,0.51,146,Grade 3 ELA
DOROTHY THOMAS CENTER,4321,CN,NA,NA,NA,NA,Grade 3 ELA
DOVER ELEMENTARY,1201,TN3,0.14,83,0.2,107,Grade 3 ELA
DR CARTER G WOODSON K-8 SCHOOL,0682,TN4,0.09,119,0.09,81,Grade 3 ELA
DUNBAR ELEMENTARY MAGNET SCHOOL,1281,TN3,0.49,53,0.44,57,Grade 3 ELA
EDISON ELEMENTARY SCHOOL,1361,TN3,0.08,49,0.18,38,Grade 3 ELA
EGYPT LAKE ELEMENTARY SCHOOL,1401,E2,0.27,62,0.25,72,Grade 3 ELA
ESSRIG ELEMENTARY SCHOOL,1431,E3,0.4,95,0.43,87,Grade 3 ELA
FISHHAWK CREEK ELEMENTARY SCHOOL,0059,E5,0.61,196,0.62,189,Grade 3 ELA
FOLSOM ELEMENTARY SCHOOL,1471,TN1,0.16,79,0.4,55,Grade 3 ELA
FOREST HILLS ELEMENTARY SCHOOL,0042,TN2,0.11000000000000001,121,0.19,111,Grade 3 ELA
FOSTER ELEMENTARY SCHOOL,1481,TN1,0.08,60,0.26,65,Grade 3 ELA
FROST ELEMENTARY SCHOOL,0070,E4,0.32,98,0.37,84,Grade 3 ELA
GIBSONTON ELEMENTARY SCHOOL,1601,TN3,0.11,95,0.28,82,Grade 3 ELA
GORRIE ELEMENTARY SCHOOL,1681,E1,0.75,88,0.8,83,Grade 3 ELA
GRADY ELEMENTARY SCHOOL,1721,E1,0.61,86,0.75,88,Grade 3 ELA
GRAHAM ELEMENTARY SCHOOL,1761,TN3,0.09000000000000001,43,0.17,36,Grade 3 ELA
HAMMOND ELEMENTARY SCHOOL,0102,E2,0.5,115,0.59,123,Grade 3 ELA
HERITAGE ELEMENTARY SCHOOL,1831,E3,0.42000000000000004,75,0.44,71,Grade 3 ELA
HILLSBOROUGH VIRTUAL SCHOOL,7023,IN,0.6,59,0.51,41,Grade 3 ELA
HOSPITAL/HOMEBOUND/HOMEBASED PROGRAMS,5371,CN,NA,NA,NA,NA,Grade 3 ELA
HUNTER'S GREEN ELEMENTARY SCHL,1941,E3,0.59,125,0.62,138,Grade 3 ELA
IPPOLITO ELEMENTARY SCHOOL,1951,TN1,0.14,89,0.12,82,Grade 3 ELA
JACKSON ELEMENTARY SCHOOL,2041,TN1,0.19,86,0.18,55,Grade 3 ELA
JAMES ELEMENTARY SCHOOL,4747,TN2,0.08,62,0.04,46,Grade 3 ELA
KENLY ELEMENTARY SCHOOL,2201,TN3,0.11,71,0.16,63,Grade 3 ELA
KIMBELL ELEMENTARY SCHOOL,0120,TN1,0.04,48,0.07,58,Grade 3 ELA
KINGSWOOD ELEMENTARY SCHOOL,2261,E5,0.2,79,0.22,54,Grade 3 ELA
KNIGHTS ELEMENTARY SCHOOL,2291,E4,0.32,115,0.38,104,Grade 3 ELA
LAKE MAGDALENE ELEM. SCHOOL,2321,E3,0.43,116,0.32,118,Grade 3 ELA
LAMB ELEMENTARY,0128,TN3,0.15000000000000002,95,0.2,89,Grade 3 ELA
LANIER ELEMENTARY SCHOOL,2361,E1,0.35,54,0.44,50,Grade 3 ELA
LEWIS ELEMENTARY SCHOOL,2451,E3,0.16,114,0.23,82,Grade 3 ELA
LIMONA ELEMENTARY SCHOOL,2431,E3,0.4,90,0.5,105,Grade 3 ELA
LINCOLN ELEMENTARY MAGNET SCHOOL,2441,E4,0.56,86,0.5,78,Grade 3 ELA
LITHIA SPRINGS ELEM. SCHOOL,2461,E5,0.59,123,0.61,96,Grade 3 ELA
LOCKHART ELEMENTARY MAGNET SCHOOL,0962,TN2,0.17,70,0.13,70,Grade 3 ELA
LOMAX MAGNET ELEMENTARY SCHOOL,2521,E1,0.1,48,0.4,45,Grade 3 ELA
LOPEZ ELEMENTARY SCHOOL,2531,E4,0.2,88,0.33,72,Grade 3 ELA
LOWRY ELEMENTARY SCHOOL,2551,E2,0.33,127,0.39,128,Grade 3 ELA
LUTZ K-8 SCHOOL,2561,E3,0.41,98,0.55,94,Grade 3 ELA
MABRY ELEMENTARY SCHOOL,2601,E1,0.7199999999999999,150,0.75,122,Grade 3 ELA
MACFARLANE PARK ELEMENTARY MAGNET SCHOOL,0060,E1,0.62,64,0.62,65,Grade 3 ELA
MANGO ELEMENTARY SCHOOL,2721,TN1,0.1,123,0.19,135,Grade 3 ELA
MANISCALCO K-8 SCHOOL,2771,E3,0.38,69,0.42,66,Grade 3 ELA
MCDONALD ELEMENTARY SCHOOL,2871,TN1,0.12,113,0.26,86,Grade 3 ELA
MCKITRICK ELEMENTARY SCHOOL,3082,E2,0.6200000000000001,166,0.7,166,Grade 3 ELA
MENDENHALL ELEMENTARY SCHOOL,2961,E1,0.18,89,0.13,80,Grade 3 ELA
MILES ELEMENTARY SCHOOL,3041,TN2,0.09999999999999999,136,0.1,124,Grade 3 ELA
MINTZ ELEMENTARY SCHOOL,3061,E5,0.29000000000000004,120,0.34,132,Grade 3 ELA
MITCHELL ELEMENTARY SCHOOL,3081,E1,0.69,132,0.65,109,Grade 3 ELA
MORGAN WOODS ELEMENTARY SCHOOL,3101,E2,0.22,90,0.23,65,Grade 3 ELA
MORT ELEMENTARY SCHOOL,3121,TN2,0.12,153,0.12,132,Grade 3 ELA
MULLER ELEMENTARY MAGNET SCHOOL,3181,E3,0.32,73,0.37,70,Grade 3 ELA
NELSON ELEMENTARY SCHOOL,3141,E4,0.41,117,0.48,102,Grade 3 ELA
NORTHWEST ELEMENTARY SCHOOL,3151,E2,0.64,116,0.64,99,Grade 3 ELA
OAK GROVE ELEMENTARY SCHL,3161,E3,0.19,131,0.27,128,Grade 3 ELA
OAK PARK ELEMENTARY SCHOOL,3201,TN2,0.12000000000000001,59,0.15,39,Grade 3 ELA
PALM RIVER ELEMENTARY SCHOOL,3281,TN3,0.06,54,0.2,66,Grade 3 ELA
PATRICIA SULLIVAN METROPOLITAN MINISTRIES,0123,E2,0.5,16,NA,NA,Grade 3 ELA
PINECREST ELEMENTARY SCHOOL,3362,E4,0.29,100,0.24,85,Grade 3 ELA
PIZZO K-8 SCHOOL,3381,TN4,0.14,153,0.2,129,Grade 3 ELA
POTTER ELEMENTARY SCHOOL,3521,TN3,0.03,82,0.07,73,Grade 3 ELA
PRIDE ELEMENTARY SCHOOL,3441,E3,0.59,178,0.65,188,Grade 3 ELA
RAMPELLO K-8 MAGNET SCHOOL,4251,E1,0.6,65,0.63,78,Grade 3 ELA
REDDICK ELEMENTARY,0110,E5,0.16,155,0.13,154,Grade 3 ELA
RIVERHILLS ELEMENTARY MAGNET SCHOOL,3622,E3,0.55,84,0.44,88,Grade 3 ELA
RIVERVIEW ELEMENTARY SCHOOL,3641,E5,0.2,76,0.3,74,Grade 3 ELA
ROBINSON ELEMENTARY SCHOOL,3681,E4,0.12,89,0.28,87,Grade 3 ELA
ROBLES ELEMENTARY SCHOOL,3761,TN2,0.06,109,0.06,93,Grade 3 ELA
ROLAND PARK K-8 MAGNET SCHOOL,3802,E1,0.59,92,0.6,90,Grade 3 ELA
ROOSEVELT ELEMENTARY SCHOOL,3801,E1,0.65,121,0.67,122,Grade 3 ELA
RUSKIN ELEMENTARY SCHOOL,3841,TN3,0.06999999999999999,139,0.12,111,Grade 3 ELA
SCHMIDT ELEMENTARY SCHOOL,3851,E3,0.21000000000000002,91,0.18,65,Grade 3 ELA
SCHWARZKOPF ELEMENTARY SCHOOL,3861,E2,0.52,101,0.53,90,Grade 3 ELA
SEFFNER ELEMENTARY SCHOOL,3881,E3,0.17,60,0.3,44,Grade 3 ELA
SEMINOLE HEIGHTS ELEMENTARY SCHOOL,3921,E2,0.46,53,0.47,53,Grade 3 ELA
SESSUMS ELEMENTARY SCHOOL,3922,E5,0.36,140,0.42,154,Grade 3 ELA
SHAW ELEMENTARY SCHOOL,3951,TN3,0.07,112,0.08,110,Grade 3 ELA
SHEEHY ELEMENTARY SCHOOL,0051,TN3,0.14,60,0.15,62,Grade 3 ELA
SHORE ELEMENTARY MAGNET SCHOOL,3961,E1,0.36,64,0.36,55,Grade 3 ELA
SIMMONS EXCEPTIONAL CENTER,4002,CN,NA,NA,NA,NA,Grade 3 ELA
SPRINGHEAD ELEMENTARY SCHOOL,4161,E4,0.29000000000000004,114,0.28,130,Grade 3 ELA
STOWERS ELEMENTARY SCHOOL,0085,E5,0.64,145,0.64,143,Grade 3 ELA
SULPHUR SPRINGS K-8 SCHOOL,4201,TN4,0.09,100,0.11,89,Grade 3 ELA
SUMMERFIELD CROSSINGS ELEMENTARY SCHOOL,0084,E5,0.28,167,0.26,125,Grade 3 ELA
SUMMERFIELD ELEMENTARY SCHOOL,4211,E5,0.26,134,0.3,129,Grade 3 ELA
SYMMES ELEMENTARY SCHOOL,4212,E5,0.49,59,0.39,74,Grade 3 ELA
TAMPA BAY BOULEVARD ELEM. SCHL,4241,E1,0.25,69,0.18,92,Grade 3 ELA
