Zoned School,Current Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Chiles,Magnet Total,,,1,3,6,,3,4,17
"",Neighborhood,BAILEY ELEMENTARY,Elem,,,1,,,,1
"",,CHILES ELEMENTARY,Elem,196,101,119,2,52,209,679
"",,CLARK ELEMENTARY,Elem,,,,,,1,1
"",,CLAYWELL ELEMENTARY,Elem,1,,,,,,1
"",,FOREST HILLS ELEMENTARY,Elem,,1,,,,,1
"",,HERITAGE ELEMENTARY,Elem,,,,,,1,1
"",,LAKE MAGDALENE ELEMENTARY,Elem,1,1,,,,1,3
"",,LUTZ K-8 SCHOOL,K-8,,,,,,2,2
"",,MANISCALCO K-8 SCHOOL,K-8,,,,,,1,1
"",,MORT ELEMENTARY,Elem,,1,,,,,1
"",,MULLER ELEMENTARY MAGNET,Elem,,,,,,1,1
"",,PIZZO K-8 SCHOOL,K-8,,,1,,,,1
"",,PRIDE ELEMENTARY,Elem,,1,1,,,,2
"",,SHAW ELEMENTARY,Elem,,,,,,1,1
"",,TAMPA PALMS ELEMENTARY,Elem,4,4,4,,1,4,17
"",,TINKER K-8 SCHOOL,K-8,,,,,,2,2
"",,WITTER ELEMENTARY,Elem,,1,,,,,1
"","Neighborhood
Total",,,202,110,126,2,53,223,716
"Chiles Total
217120157260272828",,,,,,,,,,
Cimino,Charter,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,,1,,,1,,2
"",,CHANNELSIDE ACAD MATH AND SCI,K-8,,,1,,,,1
"",,CREEKSIDE CHARTER ACADEMY,K-8,,,1,,,,1
"",,INDEPENDENCE ACADEMY,K-8,,,1,,,,1
"",,LITERACY LEADERSHIP TECH ACAD,K-8,,,2,,,1,3
"",,NAVIGATOR ACADEMY OF LEADERSHI,K-8,,8,9,,2,10,29
"",,RIVERVIEW ACADEMY OF MATH SCI,K-8,,1,,,,,1
"",,SOUTHSHORE CHARTER ACADEMY,K-8,,,,,,1,1
"",,VALRICO LAKE ADVANTAGE ACAD,Elem,6,4,10,,,15,35
"",,WINTHROP CHARTER SCHOOL,K-8,,,1,,,1,2
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Cimino,Choice,ALAFIA ELEMENTARY,Elem,,1,3,,1,8,13
"",,BEVIS ELEMENTARY,Elem,3,,,,1,5,9
"",,BOYETTE SPRINGS ELEMENTARY,Elem,,,4,,1,8,13
"",,BUCKHORN ELEMENTARY,Elem,,,1,,,3,4
"",,CIMINO ELEMENTARY,Elem,1,,4,,1,5,11
"",,CRESTWOOD ELEMENTARY,Elem,,,,,,1,1
"",,DAWSON ELEMENTARY,Elem,,,,,1,,1
"",,FISHHAWK CREEK ELEMENTARY,Elem,,,,,,2,2
"",,KINGSWOOD ELEMENTARY,Elem,,,,,,1,1
"",,LITHIA SPRINGS ELEMENTARY,Elem,,,1,,1,2,4
"",,MINTZ ELEMENTARY,Elem,,,1,,,,1
"",,REDDICK ELEMENTARY,Elem,,,,,3,,3
"",,RIVERVIEW ELEMENTARY,Elem,,,,,,1,1
"",,STOWERS ELEMENTARY,Elem,,,,,1,1,2
"",,SYMMES ELEMENTARY,Elem,,,2,,,1,3
"",,VALRICO ELEMENTARY,Elem,,,,,,3,3
"",Choice Total,,,4,1,16,,10,41,72
"",Magnet,DUNBAR ELEMENTARY,Elem,,,,,1,,1
"",Magnet Total,,,,,,,1,,1
"",Neighborhood,ALAFIA ELEMENTARY,Elem,,,,,,1,1
"",,CIMINO ELEMENTARY,Elem,16,58,155,,63,280,572
"",,FISHHAWK CREEK ELEMENTARY,Elem,,,,,,1,1
"",,FOREST HILLS ELEMENTARY,Elem,,,1,,,,1
"",,FROST ELEMENTARY,Elem,,,,,1,,1
"",,KINGSWOOD ELEMENTARY,Elem,,1,,,2,1,4
"",,POTTER ELEMENTARY,Elem,,,,,1,,1
"",,TAMPA PALMS ELEMENTARY,Elem,,,,,,1,1
"","Neighborhood
Total",,,16,59,156,,67,284,582
"Cimino Total
267419781353731",,,,,,,,,,
Citrus Park,Charter,CHANNELSIDE ACAD MATH AND SCI,K-8,,1,,,1,,2
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Citrus Park,Charter,DR KIRAN C PATEL ELEMENTARY,Elem,,,,,,1,1
"",,HENDERSON HAMMOCK CHARTER SCH,K-8,,2,11,,,1,14
"",,HILLSBOROUGH ACAD MATH SCIENCE,K-8,1,1,2,,,,4
"",,LEARNING GATE COMMUNITY,K-8,,,2,,,2,4
"",,LUTZ PREPARATORY SCHOOL,K-8,,,,,,3,3
"",,PLATO ACADEMY TAMPA CHARTER SCH,K-8,8,3,12,,5,19,47
"",,SLAM ACADEMY TAMPA ELEMENTARY,Elem,,1,6,,1,3,11
"",,SUNLAKE ACAD OF MATH & SCIENCE,K-8,2,,1,1,,4,8
"",,THE COLLABORATORY PREP ACADEMY,Elem,,1,,,,,1
"",,TRINITY SCHOOL FOR CHILDREN,K-8,,2,1,,,1,4
"",,VICTORY CHARTER SCHOOL TAMPA,Elem,3,2,20,,3,10,38
"",Charter Total,,,14,14,55,1,10,44,138
"",Choice,BAY CREST ELEMENTARY,Elem,,,1,,,,1
"",,BRYANT ELEMENTARY,Elem,3,1,1,,1,5,11
"",,CANNELLA ELEMENTARY,Elem,,,1,,,1,2
"",,CARROLLWOOD K-8 SCHOOL,K-8,,,1,,,,1
"",,CHIARAMONTE ELEMENTARY,Elem,,1,,,,,1
"",,CITRUS PARK ELEMENTARY,Elem,,1,2,,2,1,6
"",,CLAYWELL ELEMENTARY,Elem,,,1,,,,1
"",,DAVIS ELEMENTARY,Elem,,,1,,,,1
"",,DEER PARK ELEMENTARY,Elem,2,,4,,1,6,13
"",,ESSRIG ELEMENTARY,Elem,,1,2,,,2,5
"",,HAMMOND ELEMENTARY,Elem,,1,8,,2,8,19
"",,LOWRY ELEMENTARY,Elem,,,,,,1,1
"",,MCKITRICK ELEMENTARY,Elem,,,1,,3,,4
"",,NORTHWEST ELEMENTARY,Elem,4,2,1,,1,21,29
"",,SCHWARZKOPF ELEMENTARY,Elem,,,2,,,,2
"",,TWIN LAKES ELEMENTARY,Elem,,,2,,,,2
"",,WESTCHASE ELEMENTARY,Elem,,,7,,,,7
"",Choice Total,,,9,7,35,,10,45,106
"",ESE Placed,BRYANT ELEMENTARY,Elem,,,,,,1,1
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Citrus Park,"ESE Placed
Total",,,,,1,,,3,4
"",Magnet,ESSRIG ELEMENTARY,Elem,1,,,,,1,2
"",,MACFARLANE PARK ELEM MAGNET,Elem,2,1,1,,,6,10
"",,RAMPELLO K-8,K-8,,,,,1,,1
"",,ROLAND PARK K-8 MAGNET,K-8,,3,,,,2,5
"",,TAMPA HEIGHTS ELEM MAGNET,Elem,,,,,,1,1
"",Magnet Total,,,3,4,1,,1,10,19
"",Neighborhood,BELLAMY ELEMENTARY,Elem,,,,,1,,1
"",,CANNELLA ELEMENTARY,Elem,,,3,,1,1,5
"",,CITRUS PARK ELEMENTARY,Elem,31,23,162,,38,99,353
"",,CRESTWOOD ELEMENTARY,Elem,,1,,,,,1
"",,DEER PARK ELEMENTARY,Elem,,,,,,1,1
"",,ESSRIG ELEMENTARY,Elem,,1,1,,,2,4
"",,HAMMOND ELEMENTARY,Elem,,,1,,,,1
"",,NORTHWEST ELEMENTARY,Elem,1,,,,,,1
"",,WESTCHASE ELEMENTARY,Elem,,,2,,,,2
"","Neighborhood
Total",,,32,25,169,,40,103,369
"Citrus Park Total
5850261161205636",,,,,,,,,,
Clair Mel,Charter,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,,5,24,,2,4,35
"",,CHANNELSIDE ACAD MATH AND SCI,K-8,,4,2,,1,,7
"",,CREEKSIDE CHARTER ACADEMY,K-8,,,1,,,,1
"",,HENDERSON HAMMOCK CHARTER SCH,K-8,,,1,,,,1
"",,LITERACY LEADERSHIP TECH ACAD,K-8,1,1,20,,1,2,25
"",,NAVIGATOR ACADEMY OF LEADERSHI,K-8,,,1,,,,1
"",,RIVERVIEW ACADEMY OF MATH SCI,K-8,,,,,,1,1
"",,SLAM ACADEMY AT APOLLO BEACH,K-8,,,1,,,,1
"",,THE COLLABORATORY PREP ACADEMY,Elem,,1,,,,,1
"",,VALRICO LAKE ADVANTAGE ACAD,Elem,,,1,,,,1
"",,WALTON ACADEMY,Elem,,1,,,,,1
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Clair Mel,Charter,WOODMONT CHARTER SCHOOL,K-8,,1,,,,,1
"",Charter Total,,,1,14,54,,4,7,80
"",Choice,BING ELEMENTARY,Elem,,,3,,,,3
"",,BROOKER ELEMENTARY,Elem,,1,,,,,1
"",,CLAIR MEL ELEMENTARY,Elem,,1,,,,,1
"",,DESOTO ELEMENTARY,Elem,,,2,,,,2
"",,FROST ELEMENTARY,Elem,,2,1,,1,,4
"",,KIMBELL ELEMENTARY,Elem,,1,,,,,1
"",,LAMB ELEMENTARY,Elem,,,1,,1,,2
"",,MCKITRICK ELEMENTARY,Elem,,,2,,,,2
"",,MINTZ ELEMENTARY,Elem,,,3,,,2,5
"",,OAK PARK ELEMENTARY,Elem,,2,,,,,2
"",,PALM RIVER ELEMENTARY,Elem,,3,11,,3,4,21
"",,SCHMIDT ELEMENTARY,Elem,,,1,,,,1
"",,SEFFNER ELEMENTARY,Elem,,,,,,1,1
"",Choice Total,,,,10,24,,5,7,46
"",Magnet,LOCKHART ELEMENTARY MAGNET,Elem,,1,1,,,,2
"",,RAMPELLO K-8,K-8,,2,,,,,2
"",,RIVERHILLS ELEMENTARY MAGNET,Elem,,2,1,,,,3
"",,SHORE ELEMENTARY,Elem,,2,1,,1,1,5
"",,TAMPA HEIGHTS ELEM MAGNET,Elem,,1,,,1,,2
"",Magnet Total,,,,8,3,,2,1,14
"",Neighborhood,BING ELEMENTARY,Elem,,2,1,,,,3
"",,CITRUS PARK ELEMENTARY,Elem,,1,1,,,,2
"",,CLAIR MEL ELEMENTARY,Elem,4,107,273,,15,27,426
"",,COLSON ELEMENTARY,Elem,,1,,,,,1
"",,DESOTO ELEMENTARY,Elem,,,1,,,,1
"",,FROST ELEMENTARY,Elem,,1,4,,1,1,7
"",,IPPOLITO ELEMENTARY,Elem,,1,,,,,1
"",,KIMBELL ELEMENTARY,Elem,,1,,,,,1
"",,KINGSWOOD ELEMENTARY,Elem,,1,,,,,1
Zoned School,Placement,Current School,School,Asian,Black,,Hispanic,Indian,Multi,White,Grand
"",,,Level,,,,,,,,Total
Clair Mel,Neighborhood,PALM RIVER ELEMENTARY,Elem,,6,,12,,,1,19
"",,PINECREST ELEMENTARY,Elem,,,,,,,1,1
"",,ROBLES ELEMENTARY,Elem,,1,,,,,,1
"",,SEFFNER ELEMENTARY,Elem,,,,,,,2,2
"",Neighborhood,,,,,,,,,,
"",Total,,,4,122,,292,,17,33,468
Clair Mel Total,,,,5,154,,373,,28,48,608
Clark,Charter,DR KIRAN C PATEL ELEMENTARY,Elem,3,2,,1,,1,3,10
"",,LITERACY LEADERSHIP TECH ACAD,K-8,,,,,,2,,2
"",,LUTZ PREPARATORY SCHOOL,K-8,1,,,,,,,1
"",,NEW SPRINGS SCHOOL,K-8,,1,,,,,,1
"",,VALRICO LAKE ADVANTAGE ACAD,Elem,3,,,,,,,3
"",,VICTORY CHARTER SCHOOL TAMPA,Elem,,,,,,,1,1
"",,WOODMONT CHARTER SCHOOL,K-8,,,,,,,1,1
"",Charter Total,,,7,3,,1,,3,5,19
"",Choice,BAY CREST ELEMENTARY,Elem,,1,,,,,,1
"",,BOYETTE SPRINGS ELEMENTARY,Elem,,,,,,,1,1
"",,CHILES ELEMENTARY,Elem,1,,,1,,1,3,6
"",,CLARK ELEMENTARY,Elem,3,2,,3,,,2,10
"",,HUNTER'S GREEN ELEMENTARY,Elem,,3,,3,,,,6
"",,LEWIS ELEMENTARY,Elem,,,,,,,1,1
"",,LUTZ K-8 SCHOOL,K-8,,,,3,,,,3
"",,MCKITRICK ELEMENTARY,Elem,,,,,,,1,1
"",,PIZZO K-8 SCHOOL,K-8,,1,,,,,,1
"",,PRIDE ELEMENTARY,Elem,1,,,5,,,,6
"",,SHEEHY ELEMENTARY,Elem,,1,,,,,,1
"",,TAMPA PALMS ELEMENTARY,Elem,,,,1,,,1,2
"",,TURNER BARTELS K-8,K-8,,8,,2,,,,10
"",Choice Total,,,5,16,,18,,1,9,49
"",Magnet,DUNBAR ELEMENTARY,Elem,,,,1,,,,1
"",,LOMAX ELEMENTARY MAGNET,Elem,,2,,,,,,2
"",,RIVERHILLS ELEMENTARY MAGNET,Elem,1,1,,,,3,,5
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Clark,Magnet Total,,,1,3,1,,3,,8
"",Neighborhood,BRYANT ELEMENTARY,Elem,,,1,,,,1
"",,CHILES ELEMENTARY,Elem,,,1,,,1,2
"",,CLARK ELEMENTARY,Elem,250,129,123,2,56,154,714
"",,DUNBAR ELEMENTARY,Elem,,1,,,,,1
"",,HERITAGE ELEMENTARY,Elem,,1,1,,,,2
"",,PIZZO K-8 SCHOOL,K-8,,,1,,,,1
"",,PRIDE ELEMENTARY,Elem,1,,1,,,1,3
"",,RIVERHILLS ELEMENTARY MAGNET,Elem,,,1,,,,1
"",,RUSKIN ELEMENTARY,Elem,2,,,,,,2
"",,SYMMES ELEMENTARY,Elem,,,,,1,,1
"",,TURNER BARTELS K-8,K-8,,,1,,1,,2
"",,WITTER ELEMENTARY,Elem,,1,,,,,1
"",,YATES ELEMENTARY,Elem,,1,,,,,1
"","Neighborhood
Total",,,253,133,130,2,58,156,732
"Clark Total
266155150265170808",,,,,,,,,,
Claywell,Charter,HENDERSON HAMMOCK CHARTER SCH,K-8,,,4,,,,4
"",,HILLSBOROUGH ACAD MATH SCIENCE,K-8,,,1,,,,1
"",,HORIZON CHARTER SCH OF TAMPA,K-8,,,,,,1,1
"",,LEARNING GATE COMMUNITY,K-8,,1,4,,,2,7
"",,LUTZ PREPARATORY SCHOOL,K-8,,1,3,,1,2,7
"",,PLATO ACADEMY TAMPA CHARTER SCH,K-8,,,10,,2,5,17
"",,SLAM ACADEMY TAMPA ELEMENTARY,Elem,,,1,,1,,2
"",,SUNLAKE ACAD OF MATH & SCIENCE,K-8,9,2,34,,2,15,62
"",,TRINITY SCHOOL FOR CHILDREN,K-8,,,,,,2,2
"",,VICTORY CHARTER SCHOOL TAMPA,Elem,,,1,,,,1
"",Charter Total,,,9,4,58,,6,27,104
"",Choice,ALEXANDER ELEMENTARY,Elem,,,,,,1,1
"",,BELLAMY ELEMENTARY,Elem,,,3,,,,3
"",,BRYANT ELEMENTARY,Elem,,,,,1,,1
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Claywell,Choice,CARROLLWOOD K-8 SCHOOL,K-8,,,1,,3,4,8
"",,CITRUS PARK ELEMENTARY,Elem,1,,3,,,1,5
"",,CLAYWELL ELEMENTARY,Elem,,1,8,,,2,11
"",,ESSRIG ELEMENTARY,Elem,,,2,,,2,4
"",,GRADY ELEMENTARY,Elem,,,,,,2,2
"",,HAMMOND ELEMENTARY,Elem,,1,4,,2,10,17
"",,HUNTER'S GREEN ELEMENTARY,Elem,,,,,1,,1
"",,LAKE MAGDALENE ELEMENTARY,Elem,,1,,,,1,2
"",,MCKITRICK ELEMENTARY,Elem,,,3,,,4,7
"",,NORTHWEST ELEMENTARY,Elem,1,,11,,2,10,24
"",,SCHWARZKOPF ELEMENTARY,Elem,,3,1,,,2,6
"",Choice Total,,,2,6,36,,9,40,93
"",Magnet,ESSRIG ELEMENTARY,Elem,,,,,,1,1
"",,LOCKHART ELEMENTARY MAGNET,Elem,,,1,,,,1
"",,MACFARLANE PARK ELEM MAGNET,Elem,,,,,,2,2
"",,RIVERHILLS ELEMENTARY MAGNET,Elem,,,2,,,,2
"",,ROLAND PARK K-8 MAGNET,K-8,,1,2,,,3,6
"",Magnet Total,,,,1,5,,,6,12
"",Neighborhood,CARROLLWOOD K-8 SCHOOL,K-8,,,1,,,1,2
"",,CITRUS PARK ELEMENTARY,Elem,,,2,,,,2
"",,CLAYWELL ELEMENTARY,Elem,8,30,260,1,45,164,508
"",,ESSRIG ELEMENTARY,Elem,,,1,,,,1
"",,HAMMOND ELEMENTARY,Elem,,1,,,1,1,3
"",,MANISCALCO K-8 SCHOOL,K-8,,,,,1,,1
"",,NORTHWEST ELEMENTARY,Elem,2,,1,,,1,4
"",,TWIN LAKES ELEMENTARY,Elem,,,1,,,,1
"",,WEST SHORE ELEMENTARY,Elem,,,1,,,,1
"","Neighborhood
Total",,,10,31,267,1,47,167,523
"Claywell Total
2142366162240732",,,,,,,,,,
Cleveland,Charter,BRIDGEPREP ACADEMY OF TAMPA,K-8,,,,,1,,1
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Cleveland,Charter,DR KIRAN C PATEL ELEMENTARY,Elem,,,,,,1,1
"",,EXCELSIOR PREP CHARTER SCHOOL,Elem,,,1,,,,1
"",,HENDERSON HAMMOCK CHARTER SCH,K-8,,,1,,,,1
"",,HILLSBOROUGH ACAD MATH SCIENCE,K-8,,1,1,,,,2
"",,HORIZON CHARTER SCH OF TAMPA,K-8,,,,,2,,2
"",,LEARNING GATE COMMUNITY,K-8,,,1,,,1,2
"",,NEW SPRINGS SCHOOL,K-8,,,,,,1,1
"",,SLAM ACADEMY TAMPA ELEMENTARY,Elem,,,2,,,1,3
"",,TRINITY SCHOOL FOR CHILDREN,K-8,,,1,,,4,5
"",,VALRICO LAKE ADVANTAGE ACAD,Elem,,,,,,1,1
"",,WALTON ACADEMY,Elem,,4,,,,,4
"",,WATERSET CHARTER SCHOOL,K-8,,,1,,,,1
"",,WOODMONT CHARTER SCHOOL,K-8,,5,2,,,,7
"",Charter Total,,,,11,11,,3,10,35
"",Choice,ALEXANDER ELEMENTARY,Elem,,,3,,,,3
"",,BRYANT ELEMENTARY,Elem,,1,,,,,1
"",,CARROLLWOOD K-8 SCHOOL,K-8,,,1,,,,1
"",,CITRUS PARK ELEMENTARY,Elem,,,1,,,,1
"",,DAVIS ELEMENTARY,Elem,,,,,1,,1
"",,EGYPT LAKE ELEMENTARY,Elem,,1,2,,,,3
"",,LAKE MAGDALENE ELEMENTARY,Elem,,2,,,,,2
"",,MENDENHALL ELEMENTARY,Elem,,,2,,,,2
"",,PIZZO K-8 SCHOOL,K-8,,,2,,,,2
"",,SEMINOLE HEIGHTS ELEMENTARY,Elem,,6,2,,4,8,20
"",,SULLIVAN PARTNERSHIP ELEM,Elem,,1,,,,,1
"",,SULPHUR SPRINGS K-8,K-8,,,,,,1,1
"",,TAMPA BAY BOULEVARD ELEMENTARY,Elem,,,1,,,,1
"",Choice Total,,,,11,14,,5,9,39
"","District
Assigned",MACFARLANE PARK ELEM MAGNET,Elem,,,,,1,,1
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Cleveland,Magnet,CLEVELAND ELEMENTARY,Elem,,1,,,,,1
"",,DUNBAR ELEMENTARY,Elem,,3,1,,,,4
"",,LOCKHART ELEMENTARY MAGNET,Elem,,8,,,,,8
"",,LOMAX ELEMENTARY MAGNET,Elem,,,1,,,,1
"",,MACFARLANE PARK ELEM MAGNET,Elem,,,1,,1,4,6
"",,MULLER ELEMENTARY MAGNET,Elem,,3,,,,1,4
"",,RAMPELLO K-8,K-8,,1,4,,,6,11
"",,RIVERHILLS ELEMENTARY MAGNET,Elem,,,,,1,,1
"",,ROLAND PARK K-8 MAGNET,K-8,,,,,1,,1
"",,SHORE ELEMENTARY,Elem,,,,,,1,1
"",,TAMPA HEIGHTS ELEM MAGNET,Elem,,1,,,,,1
"",Magnet Total,,,,17,7,,3,12,39
"",Neighborhood,BROWARD ELEMENTARY,Elem,,,1,,,,1
"",,CLEVELAND ELEMENTARY,Elem,2,79,58,,10,13,162
"",,ESSRIG ELEMENTARY,Elem,,,,,,1,1
"",,FOREST HILLS ELEMENTARY,Elem,,2,1,,,,3
"",,LOCKHART ELEMENTARY MAGNET,Elem,,1,,,,,1
"",,MILES ELEMENTARY,Elem,,,1,,,,1
"",,OAK GROVE ELEMENTARY,Elem,,,2,,,,2
"",,RAMPELLO K-8,K-8,,,,,,1,1
"",,ROBLES ELEMENTARY,Elem,1,1,,,,,2
"",,SEMINOLE HEIGHTS ELEMENTARY,Elem,,11,4,,1,1,17
"",,SULPHUR SPRINGS K-8,K-8,,5,1,,,,6
"",,TWIN LAKES ELEMENTARY,Elem,,1,1,,,,2
"",,WEST SHORE ELEMENTARY,Elem,,,,,,1,1
"","Neighborhood
Total",,,3,100,69,,11,17,200
"Cleveland Total
31391012348314",,,,,,,,,,
Collins,Charter,BIG BEND ACADEMY MATH & SCIENCE,Elem,,,,,1,,1
"",,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,,5,2,,,1,8
"",,BRIDGEPREP ACADEMY OF TAMPA,K-8,,,,,,1,1
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Collins,Charter,KIDS COMMU COLLEGE SOUTHEAST,K-8,5,5,3,,1,3,17
"",,LITERACY LEADERSHIP TECH ACAD,K-8,,5,1,,,,6
"",,LITERACY LEADERSHIP TECH SOUTH BAY,K-8,,1,1,,,2,4
"",,NAVIGATOR ACADEMY OF LEADERSHI,K-8,,,1,3,1,,5
"",,RIVERVIEW ACADEMY OF MATH SCI,K-8,2,7,9,,3,10,31
"",,SLAM ACADEMY AT APOLLO BEACH,K-8,,1,,,,1,2
"",,SOUTHSHORE CHARTER ACADEMY,K-8,,7,8,,,7,22
"",,TRINITY SCHOOL FOR CHILDREN,K-8,,,,,,1,1
"",,VALRICO LAKE ADVANTAGE ACAD,Elem,6,5,11,3,3,11,39
"",,VICTORY CHARTER SCHOOL TAMPA,Elem,,1,,,,,1
"",,WATERSET CHARTER SCHOOL,K-8,,2,3,,,7,12
"",,WINTHROP CHARTER SCHOOL,K-8,2,2,1,,,3,8
"",,WOODMONT CHARTER SCHOOL,K-8,,1,,,,,1
"",Charter Total,,,15,49,42,6,9,51,172
"",Choice,ALAFIA ELEMENTARY,Elem,,,,,,1,1
"",,BEVIS ELEMENTARY,Elem,,,,,,1,1
"",,BOYETTE SPRINGS ELEMENTARY,Elem,,1,2,,1,2,6
"",,CIMINO ELEMENTARY,Elem,,,,,1,,1
"",,COLLINS PK-8 SCHOOL,K-8,,2,1,,,5,8
"",,COLSON ELEMENTARY,Elem,,,,,,1,1
"",,DOBY ELEMENTARY,Elem,,,,,,2,2
"",,GIBSONTON ELEMENTARY,Elem,,,1,,,,1
"",,HAMMOND ELEMENTARY,Elem,,,1,,,,1
"",,IPPOLITO ELEMENTARY,Elem,,1,,,,,1
"",,MABRY ELEMENTARY,Elem,,,1,,,,1
"",,MINTZ ELEMENTARY,Elem,,,1,,,,1
"",,PALM RIVER ELEMENTARY,Elem,,,,,,1,1
"",,REDDICK ELEMENTARY,Elem,,,,,,1,1
"",,RIVERVIEW ELEMENTARY,Elem,,4,1,,,1,6
"",,SESSUMS ELEMENTARY,Elem,,,,,1,3,4
"",,STOWERS ELEMENTARY,Elem,,,,,,1,1
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Collins,Choice,SUMMERFIELD ELEMENTARY,Elem,,,,,2,2,4
"",Choice Total,,,,8,8,,6,21,43
"",Magnet,LOMAX ELEMENTARY MAGNET,Elem,,,1,,,,1
"",,RAMPELLO K-8,K-8,,,,,,1,1
"",,SHORE ELEMENTARY,Elem,,2,,,,,2
"",,YORK PK-8 MAGNET SCHOOL,K-8,2,2,,,5,2,11
"",Magnet Total,,,2,4,1,,5,3,15
"",Neighborhood,BELMONT ELEMENTARY SCHOOL,Elem,,1,,,,,1
"",,BUCKHORN ELEMENTARY,Elem,,,,,,1,1
"",,CLAIR MEL ELEMENTARY,Elem,,1,,,,,1
"",,COLLINS PK-8 SCHOOL,K-8,24,223,245,3,87,353,935
"",,CORR ELEMENTARY,Elem,,,1,,,,1
"",,DAWSON ELEMENTARY,Elem,,1,,,,,1
"",,DOBY ELEMENTARY,Elem,,,1,,,,1
"",,GIBSONTON ELEMENTARY,Elem,,,2,,,1,3
"",,HAMMOND ELEMENTARY,Elem,,,1,,,,1
"",,LOMAX ELEMENTARY MAGNET,Elem,,1,,,,,1
"",,RIVERVIEW ELEMENTARY,Elem,,2,2,,,,4
"",,SESSUMS ELEMENTARY,Elem,,1,,,,,1
"",,SHORE ELEMENTARY,Elem,,1,,,,,1
"",,STOWERS ELEMENTARY,Elem,,,,,,1,1
"",,SUMMERFIELD ELEMENTARY,Elem,1,6,5,,1,2,15
"",,TINKER K-8 SCHOOL,K-8,,,,,,1,1
"",,YORK PK-8 MAGNET SCHOOL,K-8,,1,,,,,1
"","Neighborhood
Total",,,25,238,257,3,88,359,970
"Collins Total
4229930891084341,200",,,,,,,,,,
Colson,Charter,ADVANTAGE ACADEMY OF HILLSBOROUGH,K-8,,,,,,1,1
"",,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,,,1,,1,1,3
"",,BRIDGEPREP ACADEMY OF TAMPA,K-8,,,1,,,,1
"",,DR KIRAN C PATEL ELEMENTARY,Elem,,2,,,,,2
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Colson,Charter,LEARNING GATE COMMUNITY,K-8,,,,,,1,1
"",,NAVIGATOR ACADEMY OF LEADERSHI,K-8,,,4,,,3,7
"",,NEW SPRINGS SCHOOL,K-8,,1,,,,,1
"",,RIVERVIEW ACADEMY OF MATH SCI,K-8,,,,,,1,1
"",,THE COLLABORATORY PREP ACADEMY,Elem,,1,,,,,1
"",,VALRICO LAKE ADVANTAGE ACAD,Elem,,,,,,1,1
"",,WATERSET CHARTER SCHOOL,K-8,,,1,,,,1
"",,WINTHROP CHARTER SCHOOL,K-8,,,3,,,1,4
"",,WOODMONT CHARTER SCHOOL,K-8,,1,,,1,,2
"",Charter Total,,,1,13,25,,4,17,60
"",Choice,ALEXANDER ELEMENTARY,Elem,,1,1,,1,,3
"",,BAILEY ELEMENTARY,Elem,,,2,,,2,4
"",,BROOKER ELEMENTARY,Elem,,,1,,,2,3
"",,BUCKHORN ELEMENTARY,Elem,,,,,,2,2
"",,CIMINO ELEMENTARY,Elem,,,,,1,2,3
"",,CITRUS PARK ELEMENTARY,Elem,,,,,,1,1
"",,COLSON ELEMENTARY,Elem,,,1,,,,1
"",,DOVER ELEMENTARY,Elem,,,2,,,,2
"",,KINGSWOOD ELEMENTARY,Elem,,,3,,,,3
"",,KNIGHTS ELEMENTARY,Elem,,,1,,,,1
"",,LANIER ELEMENTARY,Elem,,,,,1,,1
"",,LIMONA ELEMENTARY,Elem,,1,2,,,5,8
"",,LITHIA SPRINGS ELEMENTARY,Elem,,,,,,2,2
"",,LOPEZ ELEMENTARY,Elem,,4,3,,,4,11
"",,MANGO ELEMENTARY,Elem,,1,,,,1,2
"",,MINTZ ELEMENTARY,Elem,,,1,,,4,5
"",,RIVERVIEW ELEMENTARY,Elem,,,2,,,,2
"",,SCHMIDT ELEMENTARY,Elem,,,3,,,1,4
"",,SEFFNER ELEMENTARY,Elem,,1,,,1,1,3
"",,SYMMES ELEMENTARY,Elem,,2,,,,,2
"",,THONOTOSASSA ELEMENTARY,Elem,,2,2,,,,4
