y,d,s,g,c,fixorder,sub,inexp_tot,exp_tot,total_unk_tot,total_tot,inexp_r_tot,ineff_tot,otheval_tot,noeval_tot,ineff_r_tot,temponly_tot
1819,29,1951,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
1920,29,1951,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,7,40,0,47,14.9,0,0,47,0,2
1920,29,1951,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1920,29,1951,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
2021,29,1951,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,8,34,0,42,19,1,36,5,2.38,5
2021,29,1951,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2021,29,1951,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
2122,29,1951,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,11,31,0,42,26.2,0,38,4,0,7
2122,29,1951,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2122,29,1951,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
2223,29,1951,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,18,18,0,36,50,1,32,3,2.78,6
2223,29,1951,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,0,1,1,0,0,0,1,0,
2223,29,1951,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
1718,29,2041,School Chart,Mid-Range Minority/High Poverty/Title I,10,Teachers,10,32,0,42,23.8,1,39,2,2.38,1
1718,29,2041,School Chart,Mid-Range Minority/High Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1718,29,2041,School Chart,Mid-Range Minority/High Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
1819,29,2041,School Chart,Mid-Range Minority/High Poverty/Title I,10,Teachers,7,35,0,42,16.7,0,38,4,0,0
1819,29,2041,School Chart,Mid-Range Minority/High Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1819,29,2041,School Chart,Mid-Range Minority/High Poverty/Title I,10,Other,1,0,0,1,100,0,0,1,0,
1920,29,2041,School Chart,Mid-Range Minority/High Poverty/Title I,10,Teachers,7,38,0,45,15.6,0,0,45,0,1
1920,29,2041,School Chart,Mid-Range Minority/High Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1920,29,2041,School Chart,Mid-Range Minority/High Poverty/Title I,10,Other,1,0,0,1,100,0,0,1,0,
2021,29,2041,School Chart,Mid-Range Minority/High Poverty/Title I,10,Teachers,10,30,0,40,25,1,37,2,2.5,2
2021,29,2041,School Chart,Mid-Range Minority/High Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2021,29,2041,School Chart,Mid-Range Minority/High Poverty/Title I,10,Other,1,0,0,1,100,0,0,1,0,
2122,29,2041,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,8,31,0,39,20.5,1,36,2,2.56,3
2122,29,2041,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2122,29,2041,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,1,0,0,1,100,0,0,1,0,
2223,29,2041,School Chart,Mid-Range Minority/High Poverty/Title I,10,Teachers,9,29,0,38,23.7,0,33,5,0,6
2223,29,2041,School Chart,Mid-Range Minority/High Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2223,29,2041,School Chart,Mid-Range Minority/High Poverty/Title I,10,Other,0,0,0,0,,0,0,0,,
1718,29,2201,School Chart,Mid-Range Minority/High Poverty/Title I,10,Teachers,14,24,0,38,36.8,0,35,3,0,1
1718,29,2201,School Chart,Mid-Range Minority/High Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1718,29,2201,School Chart,Mid-Range Minority/High Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
1819,29,2201,School Chart,Mid-Range Minority/High Poverty/Title I,10,Teachers,11,28,0,39,28.2,0,35,4,0,0
1819,29,2201,School Chart,Mid-Range Minority/High Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1819,29,2201,School Chart,Mid-Range Minority/High Poverty/Title I,10,Other,1,0,0,1,100,0,0,1,0,
1920,29,2201,School Chart,High Minority/High Poverty/Title I,10,Teachers,9,31,0,40,22.5,0,0,40,0,4
1920,29,2201,School Chart,High Minority/High Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1920,29,2201,School Chart,High Minority/High Poverty/Title I,10,Other,0,1,1,2,0,0,0,2,0,
2021,29,2201,School Chart,High Minority/High Poverty/Title I,10,Teachers,10,29,0,39,25.6,1,33,5,2.56,5
2021,29,2201,School Chart,High Minority/High Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2021,29,2201,School Chart,High Minority/High Poverty/Title I,10,Other,0,1,1,2,0,0,0,2,0,
2122,29,2201,School Chart,High Minority/High Poverty/Title I,10,Teachers,10,24,0,34,29.4,0,31,3,0,4
2122,29,2201,School Chart,High Minority/High Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2122,29,2201,School Chart,High Minority/High Poverty/Title I,10,Other,1,0,0,1,100,0,0,1,0,
2223,29,2201,School Chart,High Minority/High Poverty/Title I,10,Teachers,13,24,0,37,35.1,0,32,5,0,5
2223,29,2201,School Chart,High Minority/High Poverty/Title I,10,Principals,1,0,0,1,100,0,0,1,0,
2223,29,2201,School Chart,High Minority/High Poverty/Title I,10,Other,1,0,0,1,100,0,0,1,0,
1718,29,2261,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,4,30,0,34,11.8,0,31,3,0,0
1718,29,2261,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1718,29,2261,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,1,0,1,0,0,0,1,0,
1819,29,2261,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,4,29,0,33,12.1,0,31,2,0,0
1819,29,2261,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1819,29,2261,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,1,0,1,0,0,0,1,0,
1920,29,2261,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,6,29,0,35,17.1,0,0,35,0,0
1920,29,2261,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1920,29,2261,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,1,0,1,0,0,0,1,0,
2021,29,2261,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,5,29,0,34,14.7,0,32,2,0,0
2021,29,2261,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2021,29,2261,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,1,0,1,0,0,0,1,0,
2122,29,2261,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,4,26,0,30,13.3,0,27,3,0,1
2122,29,2261,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2122,29,2261,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,1,0,1,0,0,0,1,0,
2223,29,2261,School Chart,Mid-Range Minority/High Poverty/Title I,10,Teachers,5,25,0,30,16.7,0,27,3,0,2
2223,29,2261,School Chart,Mid-Range Minority/High Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2223,29,2261,School Chart,Mid-Range Minority/High Poverty/Title I,10,Other,0,1,0,1,0,0,0,1,0,
1718,29,2291,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,15,48,0,63,23.8,0,57,6,0,3
1718,29,2291,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1718,29,2291,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,1,0,0,1,100,0,0,1,0,
1819,29,2291,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,17,45,0,62,27.4,0,55,7,0,4
1819,29,2291,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1819,29,2291,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,1,0,0,1,100,0,0,1,0,
1920,29,2291,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,15,42,0,57,26.3,0,0,57,0,3
1920,29,2291,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1920,29,2291,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,1,0,0,1,100,0,0,1,0,
2021,29,2291,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,12,42,0,54,22.2,0,48,6,0,2
2021,29,2291,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2021,29,2291,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,1,0,0,1,100,0,0,1,0,
2122,29,2291,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,10,38,0,48,20.8,0,43,5,0,1
2122,29,2291,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2122,29,2291,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,1,0,0,1,100,0,0,1,0,
2223,29,2291,School Chart,Mid-Range Minority/High Poverty/Title I,10,Teachers,5,43,0,48,10.4,0,42,6,0,1
2223,29,2291,School Chart,Mid-Range Minority/High Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2223,29,2291,School Chart,Mid-Range Minority/High Poverty/Title I,10,Other,1,0,0,1,100,0,0,1,0,
1718,29,2321,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,13,50,0,63,20.6,0,62,1,0,4
1718,29,2321,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1718,29,2321,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,0,1,0,1,0,0,0,1,0,
1819,29,2321,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,13,44,0,57,22.8,0,54,3,0,2
1819,29,2321,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1819,29,2321,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,1,0,1,0,0,0,1,0,
1920,29,2321,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,12,44,0,56,21.4,0,0,56,0,3
1920,29,2321,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1920,29,2321,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,1,0,1,0,0,0,1,0,
2021,29,2321,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,9,45,0,54,16.7,0,49,5,0,2
2021,29,2321,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2021,29,2321,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,1,0,1,0,0,0,1,0,
2122,29,2321,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,9,43,0,52,17.3,0,49,3,0,2
2122,29,2321,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2122,29,2321,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
2223,29,2321,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,9,41,0,50,18,0,47,3,0,4
2223,29,2321,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2223,29,2321,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
1718,29,2361,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,8,21,0,29,27.6,0,28,1,0,2
1718,29,2361,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1718,29,2361,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,1,0,1,0,0,0,1,0,
1819,29,2361,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,9,15,0,24,37.5,0,22,2,0,2
1819,29,2361,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1819,29,2361,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,1,0,1,0,0,0,1,0,
1920,29,2361,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,7,24,0,31,22.6,0,0,31,0,2
1920,29,2361,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1920,29,2361,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,1,0,1,0,0,0,1,0,
2021,29,2361,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,9,23,0,32,28.1,0,30,2,0,1
2021,29,2361,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2021,29,2361,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,1,0,1,0,0,0,1,0,
2122,29,2361,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,6,23,0,29,20.7,1,27,1,3.45,0
2122,29,2361,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2122,29,2361,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,1,0,0,1,100,0,0,1,0,
2223,29,2361,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,9,19,0,28,32.1,0,25,3,0,3
2223,29,2361,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2223,29,2361,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,1,0,1,0,0,0,1,0,
1718,29,2401,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,3,19,0,22,13.6,0,22,0,0,0
1718,29,2401,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1718,29,2401,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
1819,29,2401,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,2,17,0,19,10.5,0,18,1,0,0
1819,29,2401,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1819,29,2401,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
1920,29,2401,School Chart,High Minority/Mid-Range Poverty/Title I,10,Teachers,7,18,0,25,28,0,0,25,0,5
1920,29,2401,School Chart,High Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1920,29,2401,School Chart,High Minority/Mid-Range Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
2021,29,2401,School Chart,High Minority/Mid-Range Poverty/Title I,10,Teachers,7,20,0,27,25.9,0,26,1,0,3
2021,29,2401,School Chart,High Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2021,29,2401,School Chart,High Minority/Mid-Range Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
2122,29,2401,School Chart,High Minority/Mid-Range Poverty/Title I,10,Teachers,8,18,0,26,30.8,0,25,1,0,1
2122,29,2401,School Chart,High Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2122,29,2401,School Chart,High Minority/Mid-Range Poverty/Title I,10,Other,0,1,0,1,0,0,0,1,0,
2223,29,2401,School Chart,High Minority/High Poverty/Title I,10,Teachers,9,15,0,24,37.5,0,23,1,0,5
2223,29,2401,School Chart,High Minority/High Poverty/Title I,10,Principals,1,0,0,1,100,0,0,1,0,
2223,29,2401,School Chart,High Minority/High Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
1718,29,2431,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,6,35,0,41,14.6,0,41,0,0,2
1718,29,2431,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1718,29,2431,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,0,1,0,1,0,0,0,1,0,
1819,29,2431,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,3,38,0,41,7.3,0,41,0,0,1
1819,29,2431,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1819,29,2431,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,0,1,0,1,0,0,0,1,0,
1920,29,2431,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,4,36,0,40,10,0,0,40,0,2
1920,29,2431,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1920,29,2431,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,0,1,0,1,0,0,0,1,0,
2021,29,2431,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,7,31,0,38,18.4,0,38,0,0,1
2021,29,2431,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2021,29,2431,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,0,1,0,1,0,0,0,1,0,
2122,29,2431,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,4,32,0,36,11.1,0,36,0,0,1
2122,29,2431,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2122,29,2431,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,0,1,0,1,0,0,0,1,0,
2223,29,2431,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,4,32,0,36,11.1,0,36,0,0,2
2223,29,2431,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2223,29,2431,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,0,1,0,1,0,0,0,1,0,
1718,29,2441,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,8,26,0,34,23.5,0,32,2,0,1
1718,29,2441,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1718,29,2441,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,0,0,1,1,0,0,0,1,0,
1819,29,2441,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,5,29,0,34,14.7,0,32,2,0,0
1819,29,2441,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1819,29,2441,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,0,0,1,1,0,0,0,1,0,
1920,29,2441,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,8,31,0,39,20.5,0,0,39,0,2
1920,29,2441,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1920,29,2441,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,1,0,0,1,100,0,0,1,0,
2021,29,2441,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,7,27,0,34,20.6,0,32,2,0,2
2021,29,2441,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2021,29,2441,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,1,0,0,1,100,0,0,1,0,
2122,29,2441,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,9,24,0,33,27.3,0,31,2,0,3
2122,29,2441,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2122,29,2441,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,1,0,0,1,100,0,0,1,0,
2223,29,2441,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,10,23,0,33,30.3,0,31,2,0,2
2223,29,2441,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2223,29,2441,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,0,0,1,1,0,0,0,1,0,
1718,29,2451,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,10,52,0,62,16.1,1,59,2,1.61,2
1718,29,2451,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1718,29,2451,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
1819,29,2451,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,9,49,0,58,15.5,0,56,2,0,3
1819,29,2451,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1819,29,2451,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,1,0,0,1,100,0,0,1,0,
1920,29,2451,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,13,49,0,62,21,0,0,62,0,4
1920,29,2451,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1920,29,2451,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,1,0,0,1,100,0,0,1,0,
2021,29,2451,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,11,49,0,60,18.3,0,57,3,0,2
2021,29,2451,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2021,29,2451,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,1,0,0,1,100,0,0,1,0,
2122,29,2451,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,7,44,0,51,13.7,0,49,2,0,1
2122,29,2451,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2122,29,2451,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,0,0,0,,0,0,0,,
2223,29,2451,School Chart,Mid-Range Minority/High Poverty/Title I,10,Teachers,4,42,0,46,8.7,0,44,2,0,1
2223,29,2451,School Chart,Mid-Range Minority/High Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2223,29,2451,School Chart,Mid-Range Minority/High Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
1718,29,2461,School Chart,Low Minority/Low Poverty/Non-Title I,10,Teachers,1,42,0,43,2.3,0,43,0,0,0
1718,29,2461,School Chart,Low Minority/Low Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1718,29,2461,School Chart,Low Minority/Low Poverty/Non-Title I,10,Other,0,0,1,1,0,0,0,1,0,
1819,29,2461,School Chart,Low Minority/Low Poverty/Non-Title I,10,Teachers,3,41,0,44,6.8,0,43,1,0,1
1819,29,2461,School Chart,Low Minority/Low Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1819,29,2461,School Chart,Low Minority/Low Poverty/Non-Title I,10,Other,1,0,0,1,100,0,0,1,0,
1920,29,2461,School Chart,Low Minority/Low Poverty/Non-Title I,10,Teachers,2,41,0,43,4.7,0,0,43,0,0
1920,29,2461,School Chart,Low Minority/Low Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1920,29,2461,School Chart,Low Minority/Low Poverty/Non-Title I,10,Other,1,0,0,1,100,0,0,1,0,
2021,29,2461,School Chart,Low Minority/Low Poverty/Non-Title I,10,Teachers,1,40,0,41,2.4,0,39,2,0,1
2021,29,2461,School Chart,Low Minority/Low Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2021,29,2461,School Chart,Low Minority/Low Poverty/Non-Title I,10,Other,0,0,0,0,,0,0,0,,
2122,29,2461,School Chart,Low Minority/Low Poverty/Non-Title I,10,Teachers,2,35,0,37,5.4,0,37,0,0,0
2122,29,2461,School Chart,Low Minority/Low Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2122,29,2461,School Chart,Low Minority/Low Poverty/Non-Title I,10,Other,1,0,0,1,100,0,0,1,0,
2223,29,2461,School Chart,Low Minority/Low Poverty/Non-Title I,10,Teachers,5,33,0,38,13.2,0,38,0,0,4
2223,29,2461,School Chart,Low Minority/Low Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2223,29,2461,School Chart,Low Minority/Low Poverty/Non-Title I,10,Other,0,0,1,1,0,0,0,1,0,
1718,29,2521,School Chart,High Minority/Mid-Range Poverty/Title I,10,Teachers,8,20,0,28,28.6,0,28,0,0,1
1718,29,2521,School Chart,High Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1718,29,2521,School Chart,High Minority/Mid-Range Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
1819,29,2521,School Chart,High Minority/Mid-Range Poverty/Title I,10,Teachers,5,21,0,26,19.2,0,25,1,0,1
1819,29,2521,School Chart,High Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1819,29,2521,School Chart,High Minority/Mid-Range Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
1920,29,2521,School Chart,High Minority/Mid-Range Poverty/Title I,10,Teachers,13,13,0,26,50,0,0,26,0,6
1920,29,2521,School Chart,High Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1920,29,2521,School Chart,High Minority/Mid-Range Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
2021,29,2521,School Chart,High Minority/Mid-Range Poverty/Title I,10,Teachers,10,16,0,26,38.5,1,24,1,3.85,6
2021,29,2521,School Chart,High Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2021,29,2521,School Chart,High Minority/Mid-Range Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
